😀 => 😀, چہرہ؛ منہ؛ کھلا؛ ہنسی
😔 => 😔, غمزدہ؛ چہرہ
😕 => 😕, کنفیوز؛ چہرہ
😖 => 😖, انتہائی کنفیوز؛ چہرہ
🙃 => 🙃, چہرہ؛ الٹآ
😷 => 😷, ٹھنڈ؛ ڈاکٹر؛ چہرہ؛ ماسک
🤒 => 🤒, چہرہ؛ بیمار؛ تھرمامیٹر
🤕 => 🤕, پٹی؛ چہرہ؛ زخم
🤑 => 🤑, چہرہ؛ ڈالر؛ منہ
😲 => 😲, حیرت؛ چہرہ؛ تکلیف
😞 => 😞, مایوس؛ چہرہ
😟 => 😟, پریشان؛ چہرہ
😤 => 😤, چہرہ؛ فتخ
😢 => 😢, رونا؛ چہرہ؛ آنسو
😭 => 😭, رونا؛ چہرہ؛ آنسو
😦 => 😦, چہرہ؛ منہ؛ کھلا ہوا؛ تیوری
😧 => 😧, تکلیف؛ چہرہ
😨 => 😨, خوف؛ چہرہ
😩 => 😩, چہرہ؛ تھکاوٹ
😬 => 😬, ناگواریت؛ چہرہ
😰 => 😰, نیلا؛ ٹھنڈا؛ منہ؛ پسینہ
😱 => 😱, چہرہ؛ خوف؛ چیخ
😳 => 😳, شرمندگی؛ چہرہ؛ سرخ
😵 => 😵, چہرہ؛ چکر
😡 => 😡, چہرہ؛ نا خوش
😠 => 😠, چہرہ؛ غصہ
😈 => 😈, چہرہ؛ شیطانی مسکراہٹ
👿 => 👿, چہرہ؛ شیطان؛ شرارتی
👹 => 👹, چہرہ؛ جن؛ افسانوی؛ جاپانی
👺 => 👺, چہرہ؛ جن؛ افسانوی؛ جاپانی
💀 => 💀, چہرہ؛ جن؛ افسانوی؛ موت
☠ => ☠, کھوپڑی؛ ہڈیاں؛ کراس؛ موت
👻 => 👻, چہرہ؛ جن؛ افسانوی
👽 => 👽, چہرہ؛ خلا؛ مخلوق
👾 => 👾, چہرہ؛ خلا؛ دیو
🤖 => 🤖, چہرہ؛ روبوٹ
💩 => 💩, چہرہ؛ گندگی؛ ڈھیر
😺 => 😺, چہرہ؛ بلی؛ منہ؛ مسکراہٹ
😸 => 😸, چہرہ؛ بلی؛ مسکراہٹ
😹 => 😹, چہرہ؛ بلی؛ خوشی؛ آنسو
😻 => 😻, چہرہ؛ بلی؛ دل؛ پیار
😼 => 😼, چہرہ؛ بلی؛ طنز؛ مسکراہٹ
😽 => 😽, چہرہ؛ بلی؛ آنکھ؛ بھوسہ
🙀 => 🙀, چہرہ؛ بلی؛ تھکا ہوا ہونا
😿 => 😿, چہرہ؛ بلی؛ رونا؛ آنسو
😾 => 😾, چہرہ؛ بلی؛ نا شاد ہونا
🙈 => 🙈, چہرہ؛ بندر؛ نہیں؛ دیکھو
🙉 => 🙉, چہرہ؛ بندر؛ نہیں؛ سنو
🙊 => 🙊, چہرہ؛ بندر؛ نہیں؛ بولو
👦 => 👦, انسان؛ لڑکا
👧 => 👧, انسان؛ لڑکی
👨 => 👨, انسان؛ مرد
👩 => 👩, انسان؛ عورت
👴 => 👴, انسان؛ مرد؛ بوڑھا
👵 => 👵, انسان؛ عورت؛ بوڑھی
👶 => 👶, انسان؛ بچہ
👱 => 👱, بندہ؛ بال؛ سنہرے
👮 => 👮, پولیس؛ آفیسر
👲 => 👲, آدمی؛ ٹوپی
👳 => 👳, آدمی؛ پگڑی
👷 => 👷, ٹوپی؛ مزدور
⛑ => ⛑, چہرہ؛ ہیلمٹ؛ ٹوپی
👸 => 👸, افسانوی؛ کہانی
🎅 => 🎅, جشن؛ سانتا؛ باپ؛ کرسمس
👼 => 👼, فرشتہ؛ چہرہ؛ بچہ؛ افسانوی
💆 => 💆, مساج
💇 => 💇, حجام
👰 => 👰, دلہن؛ شادی
🙍 => 🙍, اشارہ؛ تیوری
🙎 => 🙎, اشارہ؛ نا شاد
🙅 => 🙅, منع کرنا؛ نہیں؛ ہاتھ
🙆 => 🙆, ہاتھ؛ ٹھیک ہے
💁 => 💁, مدد؛ معلومات
🙋 => 🙋, ہاتھ؛ خوش؛ اٹھانا
🙇 => 🙇, اشارہ؛ معافی؛ جھکنا
🙌 => 🙌, جشن؛ ہاتھ؛ جسم
🙏 => 🙏, اشارہ؛ دعا؛ شکریہ
🗣 => 🗣, چہرہ؛ سر؛ بولنا
👤 => 👤, خاکہ
👥 => 👥, خاکہ
🚶 => 🚶, شخص؛ پیدل
🏃 => 🏃, شخص؛ دوڑنا
👯 => 👯, لڑکی؛ عورت؛ ڈانس
💃 => 💃, لڑکی؛ ڈانس
🕴 => 🕴, شخص؛ ہوا؛ معلق؛ بزنس؛ سوٹ
💏 => 💏, جوڑا؛ رومانس
💑 => 💑, جوڑا؛ دل؛ رومانس
👪 => 👪, بچہ؛ باپ؛ ماں
👫 => 👫, جوڑا؛ ہاتھ؛ تھامنا
👬 => 👬, جوڑا؛ ہاتھ؛ تھامنا؛ مرد
👭 => 👭, جوڑا؛ ہاتھ؛ تھامنا؛ عورتیں
🏻 => 🏻, ایموجی؛ تبدیل کار؛ اسکن؛ ٹون
🏼 => 🏼, ایموجی؛ تبدیل کار؛ اسکن؛ ٹون
🏽 => 🏽, ایموجی؛ تبدیل کار؛ اسکن؛ ٹون
🏾 => 🏾, ایموجی؛ تبدیل کار؛ اسکن؛ ٹون
🏿 => 🏿, ایموجی؛ تبدیل کار؛ اسکن؛ ٹون
💪 => 💪, ڈولے؛ جسم
👈 => 👈, جسم؛ ہاتھ؛ انگلی؛ بائیں
👉 => 👉, جسم؛ ہاتھ؛ انگلی؛ دائیں
☝ => ☝, جسم؛ ہاتھ؛ انگلی؛ اوپر
👆 => 👆, جسم؛ ہاتھ؛ شہادت کی انگلی؛ اوپر
🖕 => 🖕, جسم؛ ہاتھ؛ درمیانی انگلی
👇 => 👇, جسم؛ ہاتھ؛ شہادت کی انگلی؛ نیچے
✌ => ✌, جسم؛ ہاتھ؛ فتح؛ نشان
🖖 => 🖖, جسم؛ ہاتھ؛ انگلی؛ اَتش فشاں
🤘 => 🤘, جسم؛ ہاتھ؛ انگلی؛ سینگ
🖐 => 🖐, جسم؛ ہاتھ؛ انگلی؛ پھیلانا
✋ => ✋, جسم؛ ہاتھ
👌 => 👌, جسم؛ ہاتھ؛ اوکے؛ نشان
👍 => 👍, جسم؛ ہاتھ؛ انگوٹھا؛ اوپر
👎 => 👎, جسم؛ ہاتھ؛ انگوٹھا؛ نیچے
✊ => ✊, جسم؛ ہاتھ؛ مٹھی
👊 => 👊, جسم؛ ہاتھ؛ مکا
👋 => 👋, جسم؛ ہاتھ؛ لہرانا
👏 => 👏, جسم؛ ہاتھ؛ تالی
👐 => 👐, جسم؛ ہاتھ؛ کھولے
✍ => ✍, جسم؛ ہاتھ؛ لکھنا
💅 => 💅, جسم؛ خیال؛ ناخن؛ پالش
👂 => 👂, جسم؛ کان
👃 => 👃, جسم؛ ناک
👣 => 👣, جسم؛ قدم؛ نشان
👀 => 👀, جسم؛ آنکھیں
👁 => 👁, جسم؛ آنکھ
👅 => 👅, جسم؛ زبان
👄 => 👄, جسم؛ منہ
💋 => 💋, ہونٹ؛ بوسہ
💘 => 💘, دل؛ تیر؛ زخمی
❤ => ❤, دل؛ سرخ
💓 => 💓, دل؛ دھڑکن
💔 => 💔, دل؛ ٹوٹا ہوا
💕 => 💕, دل؛ پیار
💖 => 💖, دل؛ پر جوش
💗 => 💗, دل؛ پر جوش؛ نروس
💙 => 💙, دل؛ نیلا
💚 => 💚, دل؛ سبز
💛 => 💛, دل؛ پیلا
💜 => 💜, دل؛ ارغوانی
💝 => 💝, دل؛ ربن
💞 => 💞, دل؛ گھومنا
💟 => 💟, دل؛ ڈیکوریشن
❣ => ❣, دل؛ علامتِ ندائیہ
💌 => 💌, خط؛ پیار؛ رومانس
💤 => 💤, لفظی علامت؛ نیند
💢 => 💢, علامت؛ غصہ
💦 => 💦, پسینہ؛ قطرے
💨 => 💨, دوڑنا؛ تیزی
💫 => 💫, علامت؛ سر چکرانا
💬 => 💬, علامت؛ غبارہ؛ گفتگو
🗨 => 🗨, علامت؛ غبارہ؛ بایاں
🗯 => 🗯, علامت؛ غبارہ؛ دایاں
💭 => 💭, علامت؛ غبارہ؛ سوچ
👓 => 👓, لباس؛ آنکھ؛ جشمے
🕶 => 🕶, لباس؛ آنکھ؛ جشمے
👔 => 👔, لباس؛ نیک ٹائی
👕 => 👕, لباس؛ ٹی شرٹ
👖 => 👖, لباس؛ جینز
👘 => 👘, لباس؛ خواتین کا روایتی جاپانی لباس
👙 => 👙, لباس؛ بکنی
👚 => 👚, لباس؛ عورت
👛 => 👛, لباس؛ پیسہ
👜 => 👜, بیگ؛ لباس
👝 => 👝, بیگ؛ لباس
🛍 => 🛍, بیگ؛ ہوٹل؛ شاپنگ
🎒 => 🎒, بیگ؛ اسکول
👞 => 👞, لباس؛ آدمی؛ جوتا
👟 => 👟, لباس؛ لباس؛ جوتے
👠 => 👠, لباس؛ اونچی ایڑی؛ جوتا؛ عورت
👡 => 👡, لباس؛ جوتا؛ عورت؛ سینڈل
👢 => 👢, لباس؛ عورت؛ جوتا؛ بوٹ
👑 => 👑, لباس؛ بادشاہ؛ ملکہ
👒 => 👒, لباس؛ ہیٹ؛ عورت
🎩 => 🎩, لباس؛ ٹاپ ہیٹ
🎓 => 🎓, لباس؛ ٹوپی؛ گریجوئیشن
📿 => 📿, لباس؛ مذہب؛ تسبیح کے دانے
💄 => 💄, میک اپ
💍 => 💍, ہیرا؛ رومانس
💎 => 💎, ہیرا؛ رومانس؛ قیمتی پتھر
🐵 => 🐵, جانور؛ بندر
🐒 => 🐒, جانور؛ بندر
🐶 => 🐶, جانور؛ کتا؛ چہرہ
🐕 => 🐕, جانور؛ کتا
🐩 => 🐩, جانور؛ پوڈل
🐺 => 🐺, جانور؛ بھیڑیا
🐱 => 🐱, جانور؛ بلی؛ پالتو
🐈 => 🐈, جانور؛ بلی؛ پالتو
🦁 => 🦁, جانور؛ شیر؛ اسد
🐯 => 🐯, جانور؛ ٹائیگر
🐅 => 🐅, جانور؛ ٹائیگر
🐆 => 🐆, جانور؛ چیتا
🐴 => 🐴, جانور؛ گھوڑا
🐎 => 🐎, جانور؛ گھوڑا
🦄 => 🦄, جانور؛ یونیکارن؛ چہرہ
🐮 => 🐮, جانور؛ گائے
🐂 => 🐂, جانور؛ بیل
🐃 => 🐃, جانور؛ بھینس
🐄 => 🐄, جانور؛ گائے
🐷 => 🐷, جانور؛ سوؤر
🐖 => 🐖, جانور؛ سوؤر
🐗 => 🐗, جانور؛ سوؤر
🐽 => 🐽, جانور؛ سوؤر؛ ناک
🐏 => 🐏, جانور؛ بھیڑ
🐑 => 🐑, جانور؛ مادہ بھیڑ
🐐 => 🐐, جانور؛ برج؛ جدی
🐪 => 🐪, جانور؛ کوہان؛ اونٹ
🐫 => 🐫, جانور؛ کوہان؛ اونٹ
🐘 => 🐘, جانور؛ ہاتھی
🐭 => 🐭, جانور؛ چوہا؛ چہرہ
🐁 => 🐁, جانور؛ چوہا
🐀 => 🐀, جانور؛ چوہا
🐹 => 🐹, جانور؛ ہیمسٹر؛ چہرہ
🐰 => 🐰, جانور؛ چہرہ؛ خرگوش
🐇 => 🐇, جانور؛ خرگوش
🐿 => 🐿, جانور؛ گلہری
🐻 => 🐻, جانور؛ ریچھ
🐨 => 🐨, جانور؛ ریچھ
🐼 => 🐼, جانور؛ پانڈا
🐾 => 🐾, جانور؛ پنجے؛ نشان
🦃 => 🦃, جانور؛ ٹرکی
🐔 => 🐔, جانور؛ چکن
🐓 => 🐓, جانور؛ مرغ
🐣 => 🐣, جانور؛ بچہ؛ چوزہ
🐤 => 🐤, جانور؛ بچہ؛ چوزہ
🐥 => 🐥, جانور؛ بچہ؛ چوزہ
🕊 => 🕊, پرندہ؛ فاختہ؛ امن
🐸 => 🐸, مینڈک؛ چہرہ
🐊 => 🐊, جانور؛ مگرمچھ
🐢 => 🐢, جانور؛ کچھوا
🐍 => 🐍, جانور؛ سانپ
🐲 => 🐲, جانور؛ چہرہ؛ ڈریگن
🐉 => 🐉, جانور؛ ڈریگن
🐳 => 🐳, جانور؛ وہیل
🐋 => 🐋, جانور؛ وہیل
🐬 => 🐬, جانور؛ ڈولفن
🐟 => 🐟, جانور؛ مچھلی
🐠 => 🐠, ٹراپکل؛ مچھلی
🐡 => 🐡, مچھلی
🐙 => 🐙, جانور؛ آکٹوپس
🐚 => 🐚, جانور؛ شیل
🦀 => 🦀, جانور؛ کیکڑا
🐌 => 🐌, جانور؛ گھونگھا
🐞 => 🐞, کیڑا؛ کھٹمل
🕷 => 🕷, کیڑا؛ مکڑی
🕸 => 🕸, کیڑا؛ مکڑی
🦂 => 🦂, جانور؛ بچھو
💐 => 💐, پھول؛ پودہ
🌸 => 🌸, پھول؛ پودہ؛ چیری؛ بلاسم
💮 => 💮, پھول
🏵 => 🏵, پھول؛ پودا
🌹 => 🌹, پھول؛ پودا
🌺 => 🌺, پھول؛ پودا
🌻 => 🌻, پھول؛ پودا؛ سورج
🌼 => 🌼, پھول؛ پودا
🌷 => 🌷, پھول؛ پودا
🌱 => 🌱, پودا؛ ننھا
🌲 => 🌲, پودا؛ درخت
🌳 => 🌳, درخت؛ پودا؛ پت جھڑ
🌴 => 🌴, درخت؛ پودا؛ پام
🌵 => 🌵, پودا؛
🌾 => 🌾, پودا؛ چاول
🌿 => 🌿, پودا؛ پتا
☘ => ☘, پودا
🍀 => 🍀, پودا؛ پتا؛ چار
🍁 => 🍁, پودا؛ گرنا؛ میپل
🍂 => 🍂, پودا؛ گرنا؛ پتا
🍃 => 🍃, پودا؛ پتا؛ ہوا
🍇 => 🍇, پھل؛ انگور
🍈 => 🍈, پھل؛ خربوزہ
🍉 => 🍉, پھل؛ تربوز
🍊 => 🍊, پھل؛ سنگترہ
🍋 => 🍋, پھل؛ لیموں
🍌 => 🍌, پھل؛ کیلا
🍍 => 🍍, پھل؛ انناس
🍎 => 🍎, پھل؛ سرخ؛ سیب
🍏 => 🍏, پھل؛  سبز؛ سیب
🍐 => 🍐, پھل؛ ناشپاتی
🍑 => 🍑, پھل؛ آڑو
🍒 => 🍒, پھل؛ چیریاں
🍓 => 🍓, پھل؛ اسٹابری
🍅 => 🍅, پھل؛ ٹماٹر
🍆 => 🍆, سبزی؛ بینگن
🌽 => 🌽, پودا؛ چھلی
🌶 => 🌶, پودا؛ مرچ؛ تیز
🍄 => 🍄, پودا؛ کھمبی
🌰 => 🌰, پودا؛ شاہ بلوط
🧀 => 🧀, پنیر؛ ٹکڑا
🍖 => 🍖, اسنیک؛ ہڈی؛ گوشت
🍗 => 🍗, اسنیک؛ چکن؛ ٹانگ
🍔 => 🍔, اسنیک؛ برگر
🍟 => 🍟, اسنیک؛ فرنچ؛ فرائز
🍕 => 🍕, اسنیک؛ پنیر؛ پزا؛ ٹکڑا
🌭 => 🌭, اسنیک؛ ہاٹ ڈاگ؛ بریڈ
🌮 => 🌮, اسنیک؛ میکسیکن؛ مسالہ؛ پراٹھا
🌯 => 🌯, اسنیک؛ میکسیکن؛ مسالہ؛ بریٹو
🍿 => 🍿, اسنیک؛ پاپ کارن
🍲 => 🍲, برتن؛ خوراک
🍱 => 🍱, بنٹو؛ ڈبہ
🍘 => 🍘, پاپڑ؛ چاول
🍙 => 🍙, چاول؛ گیند؛ جاپانی
🍚 => 🍚, چاول؛ پکے ہوئے
🍛 => 🍛, چاول؛ شوربہ
🍜 => 🍜, پیالہ؛ نوڈل
🍝 => 🍝, کھانا؛ اسپیگٹی
🍠 => 🍠, بُھنا ہوا؛ میٹھا؛ آلو
🍢 => 🍢, کباب؛ سٹک؛ سمندری کھانا
🍣 => 🍣, جاپانی؛ کھانا؛ سوشی
🍤 => 🍤, تلا ہوا؛ شرمپ
🍥 => 🍥, کیک؛ مچھلی؛ پیسٹری
🍡 => 🍡, میٹھا؛ جاپانی؛ سٹک
🍦 => 🍦, کریم؛ برف؛ نرم؛ میٹھی
🍧 => 🍧, میٹھی؛ تراشی ہوئی؛ برف
🍨 => 🍨, میٹھی؛ کریم؛ برف
🍩 => 🍩, ڈونٹ؛ میٹھا
🍪 => 🍪, میٹھا
🎂 => 🎂, کیک؛ جشن؛ میٹھا؛ پیسٹری
🍰 => 🍰, کیک؛ ٹکڑا؛ میٹھا؛ پیسٹری
🍫 => 🍫, چاکلیٹ؛ بار؛ میٹھی
🍬 => 🍬, میٹھی؛ کینڈی
🍭 => 🍭, میٹھی؛ کینڈی
🍮 => 🍮, میٹھا؛ کسٹرڈ
🍯 => 🍯, میٹھا؛ شہد؛ برتن
🍼 => 🍼, بچہ؛ دودھ؛ بوتل
☕ => ☕, گرم؛ چائے؛ کافی
🍵 => 🍵, کپ؛ چائے؛ ٹی کپ
🍶 => 🍶, بار؛ پینا؛ بوتل؛ شراب
🍾 => 🍾, بار؛ پینا؛ بوتل؛ کارک
🍷 => 🍷, بار؛ پینا؛ گلاس؛ شراب
🍸 => 🍸, بار؛ پینا؛ گلاس؛ کاک ٹیل
🍹 => 🍹, بار؛ ٹراپکل؛ پینا
🍺 => 🍺, بار؛ شراب؛ مگ
🍻 => 🍻, بار؛ شراب؛ مگ
🍽 => 🍽, چھری؛ کانٹا؛ پلیٹ
🍴 => 🍴, چھری؛ کانٹا
🍳 => 🍳, انڈا؛ پین
🏺 => 🏺, جگ؛ پانی؛ اوزار؛ ہتھیار؛ بُرج دِلو
🌍 => 🌍, گلوب؛ دنیا؛ زمین؛ افریقہ
🌎 => 🌎, گلوب؛ دنیا؛ زمین؛ امریکہ
🌏 => 🌏, ایشیا؛ آسٹریلیا؛ زمین؛ گلوب
🌐 => 🌐, گلوب؛ دنیا؛ زمین؛ طول البلد
🗺 => 🗺, نقشہ؛ دنیا
🏔 => 🏔, برف؛ ٹھنڈ؛ پہاڑ
🌋 => 🌋, موسم؛ پہاڑ؛ پھٹنا؛ آگ
🗻 => 🗻, پہاڑ؛ فیوجی
🏖 => 🏖, ساحل؛ چھتری
🏝 => 🏝, صحرا؛ جزیرہ
🏞 => 🏞, پارک
🏛 => 🏛, عمارت؛ کلاسیکی
🏗 => 🏗, عمارت؛ تعمیر
🏘 => 🏘, عمارت؛ گھر
🏙 => 🏙, عمارت؛ شہر
🏚 => 🏚, عمارت؛ ویران؛ گھر
🏠 => 🏠, عمارت؛ گھر
🏡 => 🏡, عمارت؛ گھر؛ باغ
⛪ => ⛪, عمارت؛ کراس؛ عیسائیت
🕋 => 🕋, عمارت؛ عبادت؛ مسلمان، مکہ
🕌 => 🕌, عمارت؛ عبادت؛ مسلمان
🕍 => 🕍, یہودی؛ عبادت گاہ
⛩ => ⛩, مذہب؛ مزار
🏢 => 🏢, عمارت
🏣 => 🏣, عمارت؛ جاپانی؛ پوسٹ
🏤 => 🏤, عمارت؛ پوسٹ
🏥 => 🏥, عمارت؛ ڈاکٹر؛ دوائی
🏦 => 🏦, عمارت؛ بینک
🏨 => 🏨, عمارت؛ ہوٹل
🏩 => 🏩, عمارت؛ ہوٹل؛ محبت
🏪 => 🏪, عمارت؛ اسٹور
🏫 => 🏫, عمارت؛ اسکول
🏬 => 🏬, عمارت؛ ڈپارٹمنٹ؛ اسٹور
🏭 => 🏭, عمارت؛ فیکٹری
🏯 => 🏯, عمارت؛ جاپانی؛ قلعہ
🏰 => 🏰, عمارت؛ قلعہ
💒 => 💒, عمارت؛ گرجہ
🗼 => 🗼, ٹوکیو؛ ٹاور
🗽 => 🗽, مجسمہ؛ آزادی
🗾 => 🗾, جاپان؛ نقشہ
🌁 => 🌁, دھند؛ موسم
🌃 => 🌃, موسم؛ رات؛ ستارے
🌄 => 🌄, موسم؛ پہاڑ؛ سورج؛ طلوع
🌅 => 🌅, موسم؛ سورج؛ صبح
🌆 => 🌆, موسم؛ عمارت؛ سورج؛ شام
🌇 => 🌇, موسم؛ عمارت؛ سورج؛ غروب
🌉 => 🌉, موسم؛ رات؛ پل
♨ => ♨, ندی؛ گرم؛ بھاپ
🌌 => 🌌, خلا؛ کہکشاں
🎠 => 🎠, جھولا؛ گھومنا؛ گھوڑا
🎡 => 🎡, پارک؛ جھولا؛ پہیہ
🎢 => 🎢, پارک؛ رولر؛ کوسٹر
💈 => 💈, حجام؛ پول
🎪 => 🎪, سرکس؛ ٹینٹ
🎭 => 🎭, فن؛ ماسک؛ تھیٹر
🖼 => 🖼, فن؛ فریم؛ تصویر
🎨 => 🎨, فن؛ عجائب گھر؛ پینٹنگ
🎰 => 🎰, گیم؛ سلاٹ مشین
🚂 => 🚂, ریل؛ انجن؛ بھاپ
🚃 => 🚃, گاڑی؛ بجلی؛ پٹری
🚄 => 🚄, ریل؛ پٹری؛ رفتار
🚅 => 🚅, رفتار؛ ٹرین؛ بلٹ
🚆 => 🚆, ٹرین؛ سواری
🚇 => 🚇, زیر زمین؛ ریلوے
🚈 => 🚈, ریلوے؛ سواری
🚉 => 🚉, ریلوے؛ ٹرین
🚊 => 🚊, ٹرام؛ سواری
🚝 => 🚝, ریل؛ سواری
🚞 => 🚞, گاڑی؛ پہاڑ؛ ریلوے
🚋 => 🚋, گاڑی؛ ٹرام؛ ٹرالی بس
🚌 => 🚌, بس؛ سواری
🚍 => 🚍, آتی ہوئی؛ بس
🚎 => 🚎, بس؛ ٹرام؛ ٹرالی
🚏 => 🚏, بس؛ بس اسٹاپ
🚐 => 🚐, بس؛ سواری
🚑 => 🚑, ایمبولنس؛ سواری
🚒 => 🚒, فائر؛ انجن؛ ٹرک
🚓 => 🚓, گاڑی؛ پولیس
🚔 => 🚔, آتی ہوئی؛ پولیس؛ کار
🚕 => 🚕, ٹیکسی؛ سواری
🚖 => 🚖, آتی ہوئی؛ ٹیکسی
🚗 => 🚗, کار؛ سواری
🚘 => 🚘, آتی ہوئی؛ کار
🚙 => 🚙, تفریحی؛ گاڑی
🚚 => 🚚, ڈلیوری؛ ٹرک
🚛 => 🚛, لاری؛ ٹرک؛ سواری
🚜 => 🚜, ٹریکٹر؛ سواری
🚲 => 🚲, سائیکل؛ سواری
⛽ => ⛽, فیول پمپ؛ گیس؛ فیول
🛣 => 🛣, موٹر وے؛ سڑک
🛤 => 🛤, ریلوے؛ ٹرین
🚨 => 🚨, پولیس؛ کار؛ لائٹ
🚥 => 🚥, اشارہ؛ ٹریفک؛ لائٹ
🚦 => 🚦, اشارہ؛ ٹریفک؛ لائٹ
🚧 => 🚧, رکاوٹ
⚓ => ⚓, بحری جہاز؛ آلہ
⛵ => ⛵, کشتی؛ سمندر
🚣 => 🚣, کشتی؛ سواری
🚤 => 🚤, کشتی؛ سواری
🛳 => 🛳, مسافر؛ کشتی؛ سواری
⛴ => ⛴, کشتی؛ سواری
🛥 => 🛥, سواری؛ موٹر بوٹ
🚢 => 🚢, سواری؛ بحری جہاز
✈ => ✈, سوری؛ ہوائی جہاز
🛩 => 🛩, سواری؛ ہوائی جہاز؛ چھوٹا
🛫 => 🛫, ہوائی جہاز؛ روانگی
🛬 => 🛬, ہوائی جہاز؛ آمد
💺 => 💺, فرنیچر؛ کرسی
🚁 => 🚁, سواری؛ ہیلی کاپٹر
🚟 => 🚟, معلق؛ ریلوے
🚠 => 🚠, کیبل؛ پہاڑ
🚡 => 🚡, گاڑی؛ ہوائی؛ ٹرام وے؛ کیبل
🛎 => 🛎, بیل ہاپ؛ بیل
🛌 => 🛌, ہوٹل؛ نیند
🛏 => 🛏, ہوٹل؛ نیند
🛋 => 🛋, ہوٹل؛ کاؤچ؛ لیمپ
🚿 => 🚿, پانی
🛀 => 🛀, باتھ ٹب
🛁 => 🛁, نہانا
⌛ => ⌛, گھڑی؛ ریت
⏳ => ⏳, گھڑی؛ ریت؛ گرتی ہوئی ریت کے ساتھ ریت گھڑی
⏰ => ⏰, الارم؛ کلاک
⏱ => ⏱, گھڑی
⏲ => ⏲, گھڑی؛ ٹائمر
🕰 => 🕰, گھڑی
🕛 => 🕛, گھڑی؛ 12:00؛ بارہ
🕧 => 🕧, گھڑی؛ 12:30؛ بارہ؛ تیس
🕐 => 🕐, گھڑی؛ 1:00؛ ایک
🕜 => 🕜, گھڑی؛ 1:30؛ ایک؛ تیس
🕑 => 🕑, گھڑی؛ 2:00؛ دو
🕝 => 🕝, گھڑی؛ 2:30؛ دو؛ تیس
🕒 => 🕒, گھڑی؛ 3:00؛ تین
🕞 => 🕞, گھڑی؛ 3:30؛ تین؛ تیس
🕓 => 🕓, گھڑی؛ 4:00؛ چار
🕟 => 🕟, گھڑی؛ 4:30؛ چار؛ تیس
🕔 => 🕔, گھڑی؛ 5:00؛ پانچ
🕠 => 🕠, گھڑی؛ 5:30؛ پانچ؛ تیس
🕕 => 🕕, گھڑی؛ 6:00؛ چھ
🕡 => 🕡, وقت؛ 6:30؛ چھ؛ تیس
🕖 => 🕖, گھڑی؛ 7:00؛ سات
🕢 => 🕢, گھڑی؛ 07:30؛ سات؛ تیس
🕗 => 🕗, گھڑی؛ 08:00؛ آٹھ
🕣 => 🕣, گھڑی؛ 08:30؛ آٹھ؛ تیس
🕘 => 🕘, گھڑی؛ 09:00؛ نو
🕤 => 🕤, گھڑی؛ 09:30؛ نو؛ تیس
