😀 => 😀, صورت؛ خنده
👬 => 👬, زوج؛ همجنس‌گرا؛ دست؛ مرد؛ دست در دست؛ دو پیکر؛ زودیاک؛ برج فلکی
👭 => 👭, زوج؛ دست؛ دست در دست؛ همجنس‌گرا؛ زن
🏻 => 🏻, اصلاح‌گر شکلک؛ پوست؛ تن رنگ
🏼 => 🏼, اصلاح‌گر شکلک؛ پوست؛ تن رنگ
🏽 => 🏽, اصلاح‌گر شکلک؛ پوست؛ تن رنگ
🏾 => 🏾, اصلاح‌گر شکلک؛ پوست؛ تن رنگ
🏿 => 🏿, اصلاح‌گر شکلک؛ پوست؛ تن رنگ
💪 => 💪, عضله بازو؛ بدن؛ مصور؛ ماهیچه؛ ورزیده
👈 => 👈, پشت دست؛ بدن؛ انگشت؛ دست؛ اشاره؛ انگشت اشاره
👉 => 👉, پشت دست؛ بدن؛ انگشت؛ دست؛ اشاره؛ انگشت اشاره
☝ => ☝, بدن؛ انگشت؛ دست؛ اشاره؛ بالا
👆 => 👆, پشت دست؛ بدن؛ انگشت؛ دست؛ اشاره؛ بالا
🖕 => 🖕, بدن؛ انگشت؛ دست؛ ناسزا
👇 => 👇, پشت دست؛ بدن؛ پایین؛ انگشت؛ دست؛ اشاره؛ انگشت اشاره
✌ => ✌, بدن؛ دست؛ پیروزی؛ v
🖖 => 🖖, بدن؛ انگشت؛ دست؛ ولکان؛ سلام؛ جنگ ستارگان
🤘 => 🤘, بدن؛ انگشت؛ دست؛ شاخ؛ راک؛ شیطان
🖐 => 🖐, بدن؛ انگشت؛ دست؛ بزن قدش
✋ => ✋, بدن؛ دست
👌 => 👌, بدن؛ دست؛ باشه؛ اوکی؛ تأیید
👍 => 👍, پسندیدن؛ 1+؛ دست؛ شست؛ بالا
👎 => 👎, نپسندیدن؛ 1-؛ دست؛ شست؛ پایین
✊ => ✊, بدن؛ مشت کردن؛ گره؛ مشت؛ کوبیدن
👊 => 👊, بدن؛ مشت کردن؛ گره؛ مشت؛ کوبیدن
👋 => 👋, بدن؛ دست؛ تکان دادن؛ موج
👏 => 👏, بدن؛ دست زدن؛ دست
👐 => 👐, بدن؛ دست؛ باز
✍ => ✍, بدن؛ دست؛ نوشتن
💅 => 💅, بدن؛ توجه؛ رسیدگی؛ زیبایی؛ آرایش؛ مانیکور؛ ناخن؛ لاک
👂 => 👂, بدن
👃 => 👃, بدن
👣 => 👣, بدن؛ پوشاک؛ جای پا؛ اثر
👀 => 👀, بدن؛ چشم؛ صورت
👁 => 👁, بدن
👅 => 👅, بدن
👄 => 👄, بدن؛ لب؛ دهان
💋 => 💋, قلب؛ بوسه؛ لب؛ علامت؛ عاشقانه
💘 => 💘, تیر؛ الهه عشق؛ کوپید؛ قلب؛ عاشقانه
❤ => ❤, قلب
💓 => 💓, تپش؛ قلب؛ تپش قلب؛ تپیدن
💔 => 💔, شکستن؛ شکسته؛ قلب
💕 => 💕, قلب؛ عشق
💖 => 💖, هیجان‌زده؛ قلب؛ درخشش
💗 => 💗, هیجان‌زده؛ قلب؛ تپش؛ عصبی
💙 => 💙, آبی؛ قلب
💚 => 💚, سبز؛ قلب
💛 => 💛, زرد؛ قلب
💜 => 💜, بنفش؛ قلب
💝 => 💝, قلب؛ روبان؛ ولنتاین
💞 => 💞, قلب؛ چرخان
❣ => ❣, علامت تعجب؛ قلب؛ علامت؛ نشانه‌گذاری
💌 => 💌, قلب؛ نامه؛ عشق؛ ایمیل؛ عاشقانه
💤 => 💤, مصور؛ خواب؛ کمیک
💢 => 💢, عصبانی؛ مصور؛ دیوانه؛ کمیک
💣 => 💣, کمیک؛ مصور؛ بمب
💥 => 💥, بوم؛ صدای انفجار؛ مصور؛ کمیک
💦 => 💦, مصور؛ کمیک؛ تراوش؛ عرق
💨 => 💨, مصور؛ کمیک؛ دوان؛ سریع؛ گرد پا
💫 => 💫, مصور؛ کمیک؛ ستاره
💬 => 💬, بالن؛ حباب؛ مصور؛ کمیک؛ دیالوگ؛ گفتگو
🗨 => 🗨, دیالوگ؛ گفتگو
🗯 => 🗯, عصبانی؛ بالن؛ حباب؛ دیوانه؛ جنون
💭 => 💭, بالن؛ حباب؛ مصور؛ کمیک؛ فکر
🕳 => 🕳, چاله؛ سوراخ
👓 => 👓, پوشاک؛ چشم؛ عینک؛ عینک طبی
🕶 => 🕶, تیره؛ چشم؛ عینک آفتابی
👔 => 👔, پوشاک
👕 => 👕, پوشاک؛ بلوز؛ تی‌شرت
👖 => 👖, پوشاک؛ شلوار؛ جین
👗 => 👗, پوشاک؛ زنانه؛ مجلسی
👘 => 👘, پوشاک؛ ژاپنی
👙 => 👙, پوشاک؛ شنا؛ مایو
👚 => 👚, پوشاک؛ زنانه
👛 => 👛, پوشاک؛ کیف؛ سکه
👜 => 👜, کیف؛ پوشاک
👝 => 👝, کیف؛ پوشاک
🛍 => 🛍, کیف؛ هتل؛ خرید
🎒 => 🎒, کیف؛ کولی؛ مدرسه
👞 => 👞, پوشاک؛ مردانه؛ کفش
👟 => 👟, ورزشی؛ پوشاک؛ کفش؛ اسنیکر
👠 => 👠, پوشاک؛ پاشنه؛ کفش؛ زن
👡 => 👡, پوشاک؛ صندل؛ کفش؛ زن
👢 => 👢, پوتین؛ بوت؛ پوشاک؛ کفش؛ زن
👑 => 👑, پوشاک؛ شاه؛ ملکه
👒 => 👒, پوشاک؛ کلاه؛ زن
🎩 => 🎩, پوشاک؛ کلاه؛ بالا؛ تاپ‌هت
🎓 => 🎓, کلاه؛ جشن؛ پوشاک؛ فارغ‌التحصیلی
📿 => 📿, مهره؛ پوشاک؛ گردن‌بند؛ دعا؛ مذهب؛ تسبیح
💄 => 💄, لوازم آرایش؛ آرایش
💍 => 💍, الماس؛ عاشقانه
💎 => 💎, الماس؛ جواهر؛ جواهرآلات؛ عاشقانه
🐵 => 🐵, صورت؛ میمون
🐶 => 🐶, سگ؛ صورت؛ حیوان خانگی
🐕 => 🐕, حیوان خانگی
🐩 => 🐩, سگ
🐺 => 🐺, صورت؛ گرگ
🐱 => 🐱, گربه؛ صورت؛ حیوان خانگی
🐈 => 🐈, حیوان خانگی
🦁 => 🦁, صورت؛ شیر؛ شیر جنگل؛ زودیاک؛ برج فلکی
🐯 => 🐯, صورت؛ ببر
🐴 => 🐴, صورت؛ اسب
🐎 => 🐎, اسب‌سواری؛ مسابقه
🦄 => 🦄, صورت؛ تک‌شاخ
🐮 => 🐮, صورت؛ گاو
🐂 => 🐂, گاو نر؛ برج ثور؛ زودیاک؛ برج فلکی
🐃 => 🐃, بوفالو؛ آب
🐷 => 🐷, صورت؛ خوک
🐖 => 🐖, ماده خوک
🐗 => 🐗, خوک نر
🐽 => 🐽, صورت؛ دماغ؛ خوک
🐏 => 🐏, قوچ؛ برج حمل؛ گوسفند؛ زودیاک؛ برج فلکی
🐑 => 🐑, میش؛ گوسفند
🐐 => 🐐, بزغاله؛ برج جدی؛ زودیاک؛ برج فلکی
🐪 => 🐪, شتر؛ کوهان؛ قوز
🐫 => 🐫, باختری؛ شتر؛ کوهان
🐭 => 🐭, صورت؛ موش
🐹 => 🐹, صورت؛ همستر؛ حیوان خانگی
🐰 => 🐰, خرگوش؛ بانی؛ صورت؛ حیوان خانگی
🐇 => 🐇, خرگوش؛ بانی؛ حیوان خانگی
🐻 => 🐻, خرس؛ صورت
🐨 => 🐨, کوالا
🐼 => 🐼, صورت؛ پاندا
🐾 => 🐾, پا؛ پنجه؛ اثر؛ رد
🐣 => 🐣, نوزاد؛ جوجه؛ تولد؛ از تخم بیرون آمدن
🐤 => 🐤, نوزاد؛ جوجه
🐥 => 🐥, نوزاد؛ جوجه
🕊 => 🕊, پرنده؛ پریدن؛ صلح
🐸 => 🐸, صورت؛ قورباغه
🐍 => 🐍, ماراتن؛ استقامت؛ دو؛ دویدن
🐲 => 🐲, اژدها؛ صورت؛ جن و پری؛ افسانه
🐉 => 🐉, اژدها؛ جن و پری؛ افسانه
🐳 => 🐳, صورت؛ آب‌فشانی، وال؛ نهنگ
🐟 => 🐟, حوت؛ ماهی؛ زودیاک؛ برج فلکی
🐠 => 🐠, ماهی؛ استوایی
🐡 => 🐡, ماهی
🐚 => 🐚, صدف؛ مارپیچ
🦀 => 🦀, خرچنگ؛ سرطان؛ زودیاک؛ برج فلکی
🐜 => 🐜, حشره؛ ماهی
🐝 => 🐝, حشره؛ زنبور عسل
🐞 => 🐞, کفشدوزک؛ حشره؛ سوسک
🕷 => 🕷, حشره؛ عنکبوت
🕸 => 🕸, عنکبوت؛ تار
🦂 => 🦂, عقرب؛ کژدم؛ برج عقرب؛ زودیاک؛ برج فلکی
💐 => 💐, گل؛ گیاه؛ عاشقانه
🌸 => 🌸, شکوفه؛ گیلاس؛ گل؛ گیاه
💮 => 💮, گل
🏵 => 🏵, گیاه؛ گل
🌹 => 🌹, گیاه؛ گل
🌺 => 🌺, گیاه؛ گل
🌻 => 🌻, گیاه؛ گل؛ خورشید
🌼 => 🌼, گل؛ گیاه
🌷 => 🌷, گل؛ گیاه
🌱 => 🌱, گیاه؛ جوان؛ جوانه
🌲 => 🌲, گیاه؛ درخت
🌳 => 🌳, برگ‌ریز؛ گیاه؛ درخت
🌴 => 🌴, نخل؛ گیاه؛ درخت
🌵 => 🌵, گیاه
🌾 => 🌾, دسته؛ خوشه؛ گیاه؛ برنج
🌿 => 🌿, برگ؛ گیاه
☘ => ☘, گیاه
🍀 => 🍀, چهار؛ ۴؛ شبدر؛ برگ؛ گیاه
🍁 => 🍁, افتادن؛ برگ‌ریز؛ برگ؛ پاییز؛ افرا؛ گیاه
🍂 => 🍂, افتادن؛ برگ؛ پاییز؛ گیاه
🍃 => 🍃, وزیدن؛ حرکت در باد؛ برگ؛ گیاه؛ باد
🍇 => 🍇, میوه؛ انگور؛ گیاه
🍈 => 🍈, میوه؛ گیاه
🍉 => 🍉, میوه؛ گیاه
🍊 => 🍊, میوه؛ گیاه؛ نارنجی
🍋 => 🍋, مرکبات؛ میوه؛ گیاه
🍌 => 🍌, میوه؛ گیاه
🍍 => 🍍, میوه؛ گیاه
🍎 => 🍎, سیب؛ میوه؛ گیاه؛ قرمز
🍏 => 🍏, سیب؛ میوه؛ گیاه؛ سبز
🍐 => 🍐, میوه؛ گیاه
🍑 => 🍑, میوه؛ گیاه
🍒 => 🍒, گیلاس؛ میوه؛ گیاه
🍓 => 🍓, توت؛ میوه؛ گیاه
🍅 => 🍅, گیاه؛ سبزیجات
🍆 => 🍆, بادمجان؛ گیاه؛ سبزیجات
🌽 => 🌽, ذرت؛ بلال؛ دانه ذرت؛ گیاه
🌶 => 🌶, داغ؛ تند؛ فلفل؛ گیاه
🍄 => 🍄, گیاه
🌰 => 🌰, گیاه
🍞 => 🍞, لقمه؛ قرص؛ تکه؛ نان
🧀 => 🧀, پنیر
🍖 => 🍖, استخوان؛ گوشت
🍗 => 🍗, استخوان؛ مرغ؛ ران؛ پا؛ ماکیان
🍟 => 🍟, سیب‌زمینی؛ سرخ‌کرده
🍕 => 🍕, پنیر؛ پیتزا؛ قاچ
🌭 => 🌭, هات داگ؛ ساندویچ؛ سوسیس
🌮 => 🌮, مکزیکی؛ غذا
🌯 => 🌯, مکزیکی؛ غذا
🍿 => 🍿, پاپ کرن؛ ذرت؛ بوداده
🍲 => 🍲, ظرف غذا؛ خورش
🍱 => 🍱, بنتو؛ غذا؛ ژاپنی؛ جعبه
🍘 => 🍘, تردک؛ کراکر؛ برنج
🍙 => 🍙, توپ؛ کوفته؛ ژاپنی؛ برنج
🍚 => 🍚, پخته؛ برنج
🍛 => 🍛, کاری؛ برنج
🍜 => 🍜, کاسه؛ نودل؛ رشته؛ رامن؛ بخار؛ داغ
🍝 => 🍝, پاستا
🍠 => 🍠, سیب‌زمینی؛ کبابی؛ سیب‌زمینی شیرین؛ سیب زمینی شیرین
🍢 => 🍢, کباب؛ غذای دریایی؛ سیخ؛ اودن
🍤 => 🍤, سرخ‌شده؛ میگو؛ شاه میگو؛ تمپورا
🍥 => 🍥, کیک؛ ماهی؛ شیرینی؛ پیچ
🍡 => 🍡, دسر؛ ژاپنی؛ سیخ؛ چوب؛ شیرین
🍦 => 🍦, کرم؛ خامه؛ دسر؛ بستنی؛ یخ؛ نرم؛ قیف؛ شیرین
🍧 => 🍧, دسر؛ یخ؛ شیرین
🍨 => 🍨, بستنی؛ دسر؛ یخ؛ شیرین
🍩 => 🍩, دسر؛ دونات؛ شیرین
🍪 => 🍪, دسر؛ شیرین؛ کلوچه
🎂 => 🎂, تولد؛ کیک؛ جشن؛ دسر؛ شیرینی؛ شیرین
🍰 => 🍰, کیک؛ دسر؛ شیرینی؛ قاچ؛ شیرین
🍫 => 🍫, تکه؛ شکلات؛ دسر؛ کاکائو؛ شیرین
🍬 => 🍬, دسر؛ شیرین
🍭 => 🍭, شکلات؛ دسر؛ شیرین
🍮 => 🍮, دسر؛ پودینگ؛ شیرین
🍯 => 🍯, عسل؛ ظرف عسل؛ ظرف؛ شیرین
🍼 => 🍼, بچه؛ نوزاد؛ بطری؛ شیر؛ نوشیدن
☕ => ☕, نوشیدنی؛ قهوه؛ نوشیدن؛ داغ؛ بخار؛ چای
🍵 => 🍵, نوشیدنی؛ لیوان؛ نوشیدن؛ چای؛ فنجان چای
🍶 => 🍶, میخانه؛ بار؛ نوشیدنی الکلی؛ بطری؛ لیوان؛ نوشیدن
🍾 => 🍾, میخانه؛ بار؛ نوشیدنی الکلی؛ بطری؛ لیوان؛ نوشیدن؛ جوشان
🍷 => 🍷, میخانه؛ بار؛ نوشیدنی الکلی؛ نوشیدن؛ شراب
🍸 => 🍸, میخانه؛ بار؛ کوکتل؛ نوشیدن؛ جام
🍹 => 🍹, میخانه؛ بار؛ نوشیدن؛ استوایی
🍺 => 🍺, میخانه؛ بار؛ آبجو؛ نوشیدن؛ ماگ؛ لیوان
🍻 => 🍻, میخانه؛ بار؛ آبجو؛ به سلامتی؛ به هم زدن؛ نوشیدن؛ ماگ
🍽 => 🍽, آشپزی؛ چنگال؛ کارد؛ بشقاب
🍴 => 🍴, آشپزی؛ چنگال؛ کارد
🍳 => 🍳, تخم‌مرغ؛ سرخ کردن؛ تابه؛ نیمرو
🏺 => 🏺, آمفورا؛ آشپزی؛ نوشیدنی؛ کوزه؛ ابزار؛ اسلحه؛ زودیاک؛ برج فلکی
🌍 => 🌍, آفریقا؛ زمین؛ اروپا؛ جهان؛ دنیا
🌎 => 🌎, آمریکا؛ زمین؛ جهان؛ دنیا
🌏 => 🌏, آسیا؛ استرالیا؛ زمین؛ جهان؛ دنیا
🌐 => 🌐, زمین؛ جهان؛ نصف‌النهار؛ دنیا
🗺 => 🗺, نقشه؛ دنیا
🏔 => 🏔, سرد؛ کوه؛ برف
⛰ => ⛰, کوهستان؛ کوه
🌋 => 🌋, فوران؛ کوهستان؛ آب‌وهوا
🗻 => 🗻, فوجی؛ کوه
🏕 => 🏕, اردو؛ چادرزنی؛ کمپینگ
🏖 => 🏖, ساحل؛ سایه‌بان؛ چتر
🏜 => 🏜, بیابان؛ کویر
🏝 => 🏝, جزیره؛ خشکی؛ صحرا
🏞 => 🏞, پارک
🏟 => 🏟, استادیوم
🏛 => 🏛, ساختمان؛ قدیمی؛ کلاسیک
🏗 => 🏗, ساختمان؛ ساخت‌وساز
🏘 => 🏘, ساختمان؛ خانه
🏙 => 🏙, ساختمان؛ شهر؛ آسمانخراش
🏚 => 🏚, ساختمان؛ متروک؛ خانه
🏠 => 🏠, ساختمان؛ خانه؛ منزل
🏡 => 🏡, ساختمان؛ باغ؛ حیاط؛ خانه؛ منزل
⛪ => ⛪, ساختمان؛ مسیحیت؛ صلیب؛ مذهب؛ دین
🕋 => 🕋, اسلام؛ مسلمان؛ دین
🕌 => 🕌, اسلام؛ مسلمان؛ دین
🕍 => 🕍, یهود؛ یهودی؛ دین؛ مذهب؛ معبد
⛩ => ⛩, مذهب؛ شینتو؛ معبد
🏢 => 🏢, ساختمان
🏣 => 🏣, ساختمان؛ ژاپنی؛ پست
🏤 => 🏤, ساختمان؛ اروپایی؛ پست
🏥 => 🏥, ساختمان؛ دکتر؛ دارو؛ پزشک
🏦 => 🏦, ساختمان
🏨 => 🏨, ساختمان
🏩 => 🏩, ساختمان؛ هتل؛ عشق؛ عشق‌بازی
🏪 => 🏪, ساختمان؛ بقالی؛ فروشگاه
🏫 => 🏫, ساختمان
🏬 => 🏬, ساختمان؛ فروشگاه؛ بزرگ
🏭 => 🏭, ساختمان
🏯 => 🏯, ساختمان؛ قلعه؛ ژاپنی
🏰 => 🏰, ساختمان؛ قلعه؛ اروپایی
💒 => 💒, عروسی؛ کلیسا؛ عاشقانه
🗼 => 🗼, توکیو؛ برج
🗽 => 🗽, آزادی؛ مجسمه
🗾 => 🗾, ژاپن؛ نقشه
⛺ => ⛺, چادرزنی؛ چادرزنی
🌁 => 🌁, مه؛ آب‌وهوا
🌃 => 🌃, شب؛ ستاره؛ آب‌وهوا
🌄 => 🌄, صبح؛ کوهستان؛ خورشید؛ طلوع؛ آب‌وهوا
🌅 => 🌅, صبح؛ خورشید؛ طلوع؛ آب‌وهوا
🌆 => 🌆, ساختمان؛ شهر؛ غروب؛ عصر؛ منظره؛ خورشید؛ آب‌وهوا
🌇 => 🌇, ساختمان؛ گرگ و میش؛ غروب؛ خورشید؛ آب‌وهوا
🌉 => 🌉, پل؛ شب؛ آب‌وهوا
♨ => ♨, داغ؛ گرم؛ چشمه؛ چشمه آب گرم؛ بخار
🌌 => 🌌, فضا؛ آب‌وهوا
