😀 => 😀, ပြုံးဖြဲဖြဲ၊ မျက်နှာ
🤑 => 🤑, ​ငွေ၊ ပါးစပ်၊ မျက်နှာ
😲 => 😲, အံ့အားသင့်၊ ကြက်သေသေ၊ လုံးဝ၊ မျက်နှာ
😞 => 😞, စိတ်ပျက်၊ မျက်နှာ
😟 => 😟, စိတ်ပူ၊ မျက်နှာ
😤 => 😤, မျက်နှာ၊ အောင်ပြီ၊ နိုင်ပြီ
😢 => 😢, ငို၊ ဝမ်းနည်း၊ မျက်ရည်၊ မျက်နှာ
😭 => 😭, ငို၊ ဝမ်းနည်း၊ မျက်ရည်၊ မျက်နှာ
😦 => 😦, မျက်မှောင်ကြုတ်၊ ပါးစပ်၊ ဖွင့်၊ မျက်နှာ
😧 => 😧, မချိတင်ကဲ၊ မျက်နှာ
😨 => 😨, စိုးရိမ်၊ ပူပန်၊ ကြောက်၊ မျက်နှာ
😩 => 😩, ငြီးငွေ့၊ ပင်ပန်း၊ မျက်နှာ
😬 => 😬, ရှုံ့မဲ့၊ မျက်နှာ
😰 => 😰, ပါးစပ်၊ ဖွင့်၊ ဇောချွေး၊ အပြာရောင်၊ ချွေး၊ မျက်နှာ
😱 => 😱, အော်၊ ကြောက်၊ လန့်၊ မျက်နှာ
😳 => 😳, အား၊ မန်၊ ပြည့်နေ၊ မျက်နှာ
😵 => 😵, မူးဝေ၊ မျက်နှာ
😡 => 😡, စူတူတူ၊ မျက်နှာ၊ စိတ်ဆိုး၊ ရူး၊ နီမြန်း
😠 => 😠, ဒေါသ၊ ရူး၊ စိတ်ဆိုး၊ မျက်နှာ
😈 => 😈, မျက်နှာ၊ ပုံပြင်၊ စိတ်ကူးယဥ်၊ ပြုံး၊ ဦးချိုများ
👿 => 👿, မကောင်းဆိုးဝါး၊ ဘီလူး၊ ပုံပြင်၊ စိတ်ကူးယဥ်
👹 => 👹, ဘီလူး၊ မျက်နှာ၊ အကောင်၊ ပုံပြင်၊ စိတ်ကူးယဥ်၊ ဂျပန်
👺 => 👺, နတ်ဆိုး၊ ဘီလူး၊ မျက်နှာ၊ အကောင်၊ ပုံပြင်၊ စိတ်ကူးယဥ်၊ ဂျပန်
💀 => 💀, ခန္ဓာကိုယ်၊ မရဏ၊ မျက်နှာ၊ ဘီလူး၊ ပုံပြင်
☠ => ☠, ဦးခွံ၊ ခန္ဓာကိုယ်၊ မရဏ၊ မျက်နှာ၊ ဘီလူး၊ အရိုးများ
👻 => 👻, တစ္ဆေ၊ ဘီလူး၊ ပုံပြင်၊ စိတ်ကူးယဥ်၊ မျက်နှာ
👽 => 👽, ဂြိုဟ်သား၊ ဘီလူး၊ ပုံပြင်၊ စိတ်ကူးယဥ်၊ မျက်နှာ၊ အာကာသ၊ ufo
👾 => 👾, မကောင်းဆိုးဝါး၊ ဂြိုဟ်သား၊ ဘီလူး၊ ပုံပြင်၊ စိတ်ကူးယဥ်၊ မျက်နှာ၊ အာကာသ၊ ufo
🤖 => 🤖, စက်ရုပ်၊ အကောင်းဆိုးဝါး၊ မျက်နှာ
💩 => 💩, ချေး၊ ဟာသ၊ ရယ်စရာ၊ မကောင်းဆိုးဝါး၊ မျက်နှာ
😺 => 😺, ပါးစပ်၊ ဖွင့်၊ ပြုံး၊ ကြောင်၊ မျက်နှာ
😸 => 😸, ပြုံး၊ မျက်လုံး၊ ပြုံးဖြဲဖြဲ၊ ကြောင်၊ မျက်နှာ
😹 => 😹, ပျော်ရွှင်၊ မျက်ရည်၊ ကြောင်၊ မျက်နှာ
😻 => 😻, နှလုံး၊ မျက်လုံး၊ ပြုံး၊ ကြောင်၊ မျက်နှာ၊ ချစ်
😼 => 😼, ခနဲ့၊ သရော်၊ ပြုံး၊ ကြောင်၊ မျက်နှာ
😽 => 😽, မျက်စိ၊ မှိတ်၊ နမ်း၊ ကြောင်၊ မျက်နှာ
🙀 => 🙀, ငြီးငွေ့၊ အံ့အားသင့်၊ ပင်ပန်း၊ ကြောင်၊ မျက်နှာ
😿 => 😿, ငို၊ ဝမ်းနည်း၊ မျက်ရည်၊ ကြောင်၊ မျက်နှာ
🙈 => 🙈, မကောင်းဆိုးဝါး၊ မျင်နှာ၊ တားမြစ်၊ မြင်၊ အမူအရာ၊ မျောက်၊ လက်ဟန်
🙉 => 🙉, မကောင်းဆိုးဝါး၊ မျင်နှာ၊ တားမြစ်၊ ကြား၊ အမူအရာ၊ မျောက်၊ လက်ဟန်
🙊 => 🙊, မကောင်းဆိုးဝါး၊ မျင်နှာ၊ တားမြစ်၊ ပြော၊ အမူအရာ၊ မျောက်၊ လက်ဟန်
👧 => 👧, မိန်းကလေး၊ အပျို၊ ရာသီ
👴 => 👴, သက်ကြီး၊ အမျိုးသား
👵 => 👵, သက်ကြီး၊ အမျိုးသမီး
👮 => 👮, ပုလိပ်၊ ရဲ၊ အရာရှိ
👲 => 👲, တရုတ်၊ ဦးထုပ်၊ လူ
👳 => 👳, ဗောင်းထုပ်၊ လူ
👷 => 👷, ဆောက်လုပ်ခြင်း၊ ဦးထုပ်၊ လုပ်သား
⛑ => ⛑, သူနာပြု၊ ကူညီ၊ ကြက်ခြေခတ်၊ ခမောက်
👸 => 👸, မင်းသမီး၊ စိတ်ကူးယဥ်၊ ပုံပြင်
💂 => 💂, အစောင့်
🕵 => 🕵, စုံထောက်၊ ထောက်လှမ်း
🎅 => 🎅, နှစ်သစ်၊ ခရစ္စမတ်၊ စိတ်ကူးယာဥ်၊ ပုံပြင်၊ ဆန်တာ
👼 => 👼, နတ်သမီး၊ စိတ်ကူးယာဥ်၊ ပုံပြင်၊၊ ကလေး၊ မျက်နှာ
💆 => 💆, မျက်နှာ၊ နှိပ်၊ နယ်
💇 => 💇, ဆံပင်၊ ဆံသ၊ အလှပြင်
👰 => 👰, မျက်နှာလွှာ၊ ဇာ၊ သတို့သမီး၊ မင်္ဂလာဆောင်
🙍 => 🙍, မျက်မှောင်ကြုတ်၊ အမူအရာ၊
🙎 => 🙎, စူတူတူ၊ အမူအရာ
🙅 => 🙅, မလို၊ လက်ဟန်၊ တားမြစ်၊ လက်၊ အမူအရာ
🙆 => 🙆, အိုကေ၊ လက်၊ အမူအရာ
💁 => 💁, မေး၊ စုံစမ်း၊ အကူအညီ၊
🙋 => 🙋, လက်ဟန်၊ လက်၊ ပျော်၊ မြှောက်ပြ
🙇 => 🙇, ခွင့်လွှတ်၊ ဦးညွတ်၊ အမူအရာ၊ ဝမ်းနည်း
🙌 => 🙌, ခန္ဓာကိုယ်၊ နှုတ်ဆက်၊ လက်၊ မြှောက်ပြ၊ အားရ
🙏 => 🙏, အမူအရာ၊ လက်၊ ဆုတောင်း၊ ကျေးဇူးတင်၊ လက်ချင်းဆက်၊ ကျေနပ်
🗣 => 🗣, မျက်နှာ၊ ပြော၊ ဦးခေါင်း၊ အရိပ်ပုံမည်း၊ စကား
👤 => 👤, ကိုယ်တစ်ပိုင်း၊ အရိပ်ပုံမည်း
👥 => 👥, ကိုယ်တစ်ပိုင်း၊ အရိပ်ပုံမည်း
🚶 => 🚶, ခြေကျင်၊ လျှောက်၊ လမ်းလျှောက်
🏃 => 🏃, ပြေး၊ မာရသွန်
👯 => 👯, ပျော်ပွဲ၊ ရွှင်ပွဲ၊ ကချေသည်၊ မိန်းကလေး၊ အမျိုးသမီး
💃 => 💃, ကသူ၊ က
🕴 => 🕴, စီးပွားရေး၊ လုပ်ငန်း၊ ၀တ်စုံ
💏 => 💏, စုံတွဲ၊ ချစ်၊ ကြိုက်
💑 => 💑, နှလုံး၊ စုံတွဲ၊ ချစ်၊ ကြိုက်
👪 => 👪, ကလေး၊ ဖခင်၊ မိခင်၊ မိသားစု
👫 => 👫, စုံတွဲ၊ လက်၊ ကိုင်၊ အမျိုးသား၊ အမျိုးသမီး
👬 => 👬, စုံတွဲ၊ လက်၊ ကိုင်၊ အမျိုးသား၊ ရာသီခွင်၊ မေထုန်၊ အမွှား
👭 => 👭, လက်၊ အမျိုးသမီး၊ စုံတွဲ၊ ကိုင်
🏻 => 🏻, အီမိုဂျီ မွမ်းမံ၊ အရေပြား၊ အသားအရေ
🏼 => 🏼, အီမိုဂျီ မွမ်းမံ၊ အရေပြား၊ အသားအရေ
🏽 => 🏽, အီမိုဂျီ မွမ်းမံ၊ အရေပြား၊ အသားအရေ
🏾 => 🏾, အီမိုဂျီ မွမ်းမံ၊ အရေပြား၊ အသားအရေ
🏿 => 🏿, အီမိုဂျီ မွမ်းမံ၊ အရေပြား၊ အသားအရေ
💪 => 💪, ကြွက်သား၊ ခန္ဓာ၊ ကိုယ်၊ ကွေး၊ ကာတွန်း
👈 => 👈, လက်ခ​ျောင်း၊ ခန္ဓာ၊ ကိုယ်၊ လက်၊ ညွှန်ပြ၊ လက်ပြန်၊ အညွှန်း
👉 => 👉, လက်ခ​ျောင်း၊ ခန္ဓာ၊ ကိုယ်၊ လက်၊ ညွှန်ပြ၊ လက်ပြန်၊ အညွှန်း
☝ => ☝, ခန္ဓာ၊ ကိုယ်၊ လက်၊ ညွှန်ပြ၊ လက်ပြန်၊ အညွှန်း၊ အပေါ်သို့
👆 => 👆, ခန္ဓာ၊ ကိုယ်၊ လက်၊ ညွှန်ပြ၊ လက်ပြန်၊ အညွှန်း၊ အပေါ်သို့
🖕 => 🖕, ခန္ဓာ၊ ကိုယ်၊ လက်
👇 => 👇, ခန္ဓာ၊ ကိုယ်၊ လက်၊ ညွှန်ပြ၊ လက်ပြန်၊ အညွှန်း၊ အောက်သို့
✌ => ✌, ခန္ဓာ၊ ကိုယ်၊ အောင်မြင်မှု၊ လက်၊ v
🖖 => 🖖, ခန္ဓာ၊ ကိုယ်၊ လက်၊ vulcan၊ ဂုဏ်ပြု
🤘 => 🤘, ခန္ဓာ၊ ကိုယ်၊ ဦးချို၊ လက်ချောင်း
🖐 => 🖐, ခန္ဓာ၊ ကိုယ်၊ ဦးချို၊ လက်ချောင်း၊ ဖြ့န်
✋ => ✋, ခန္ဓာ၊ ကိုယ်၊ လက်
👌 => 👌, အိုကေ၊ လက်၊ ခန္ဓာ၊ ကိုယ်
👍 => 👍, လက်၊ ခန္ဓာ၊ ကိုယ်၊ +၁၊ အပေါ်
👎 => 👎, လက်၊ ခန္ဓာ၊ ကိုယ်၊ −၁၊ အောက်
✊ => ✊, ခန္ဓာ၊ ကိုယ်၊ လက်၊ ဆုပ်၊ ထိုး၊ လက်သီး
👊 => 👊, ခန္ဓာ၊ ကိုယ်၊ လက်၊ လက်သီး၊ ဆုပ်၊ ထိုး
👋 => 👋, လက်၊ ခန္ဓာ၊ ကိုယ်၊ဝှေ့ယမ်း
👏 => 👏, လက်၊ ခန္ဓာ၊ ကိုယ်၊ လက်ခုပ်
👐 => 👐, လက်၊ ခန္ဓာ၊ ကိုယ်၊ ဖွင့်
✍ => ✍, ရေး၊ လက်၊ ခန္ဓာ၊ ကိုယ်
💅 => 💅, လက်သည်း၊ ဆိုးဆေး၊ လက်၊ ခန္ဓာ၊ ကိုယ်၊ အလှပြင်၊ ပြုစု
👣 => 👣, ခန္ဓာ၊ ကိုယ်၊ ခြေရာများ၊ အရာ
👀 => 👀, ခန္ဓာ၊ ကိုယ်၊ မျက်လုံး၊ မျက်နှာ
👁 => 👁, ခန္ဓာ၊ ကိုယ်
👅 => 👅, ခန္ဓာ၊ ကိုယ်၊
👄 => 👄, ခန္ဓာ၊ ကိုယ်၊ နှုတ်ခမ်း
💋 => 💋, အနမ်း၊ အမှတ်၊ တံဆိပ်၊ နှုတ်ခမ်း၊ ချစ်၊ နှလုံး
💘 => 💘, မြား၊ နှလုံး၊ ဖူးစာ၊ မြားနတ်မောင်
❤ => ❤, နှလုံး
💓 => 💓, ခုန်၊ လှုပ်ခါ၊ နှလုံး၊ နလုံးခုန်၊
💔 => 💔, အက်၊ ကွဲ၊ နှလုံး
💕 => 💕, နှလုံး၊ အချစ်
💖 => 💖, စိတ်လှုပ်၊ နှလုံး၊ တောက်ပ၊ လက်
💗 => 💗, စိတ်လှုပ်၊ နှလုံး၊ ကြီးထွား၊ နှလုံးခုန်၊ ဗျာများ
💙 => 💙, အပြာ၊ နှလုံး
💚 => 💚, အစိမ်း၊ နှလုံး
💛 => 💛, အဝါ၊ နှလုံး
💜 => 💜, ခရမ်း၊ နှလုံး
💝 => 💝, ဖဲကြိုး၊ နှလုံး၊ ဗာလင်တင်
💞 => 💞, နှလုံး၊ လည်နေ
💟 => 💟, နှလုံး၊ အလှပြင်
❣ => ❣, နှလုံး၊ အာမေဍိတ်၊ အမှတ်၊ အသား၊ ပုဒ်ြဖတ်ပုဒ်ရပ်
💌 => 💌, စာ၊ ချစ်၊ နှလုံး၊ ချစ်ကြိုက်
💤 => 💤, ဟာသ၊ အိပ်
💢 => 💢, ဒ​ေါသ၊ ဟာသ၊ ရူး
💣 => 💣, ဟာသ
💥 => 💥, တိုက်မိ၊ ဟာသ
💦 => 💦, ချွေး၊စီးကျ၊ ဟာသ
💨 => 💨, ဟာသ၊ တဟုန်ထိုး၊ ပြေး
💫 => 💫, ဟာသ၊ ကြယ်
💬 => 💬, ပူဖောင်း၊ ဗလုံ၊ ဟာသ၊ မေးဖြေ၊ စကား
🗨 => 🗨, မေးဖြေ၊ စကား
🗯 => 🗯, ဒေါသ၊ ဗလုံ၊ ရူး၊ လေပူဖောင်း
💭 => 💭, ပူဖောင်း၊ ဗလုံ၊ ဟာသ၊ အတွေး
👓 => 👓, မျက်မှန်၊ ဝတ်စရာ၊ မျက်မှန်၊ မျက်လုံး
🕶 => 🕶, မှောင်၊ မျက်လုံး၊ နေကာ၊ မျက်မှန်
👔 => 👔, ဝတ်စရာ
👕 => 👕, တီရှပ်၊ ရှပ်၊ ဝတ်စရာ
👖 => 👖, ဝတ်စရာ၊ ဘောင်းဘီ၊ ဂျင်း
👗 => 👗, အဝတ်အစား
👘 => 👘, အဝတ်အစား
👙 => 👙, အဝတ်အစား၊ ရေကူး
👚 => 👚, အမျိုးသမီး၊ အဝတ်အစာ
👛 => 👛, အသုံးအဆောင်၊ အကြွေ၊ အိတ်
👜 => 👜, အိတ်၊ အသုံးအဆောင်
👝 => 👝, အိတ်၊ အသုံးအဆောင်
🛍 => 🛍, ဈေး၀ယ်၊ အိတ်၊ ဟော်တယ်
🎒 => 🎒, ကျောင်း၊ ကျောပိုး၊ အိတ်
👞 => 👞, အမျိုးသား၊ ဖိနပ်၊ အ၀တ်အစား
👟 => 👟, ပြေး၊ ဖိနပ်၊ အဝတ်အစား၊ အားကစား
👠 => 👠, ဒေါက်၊ ဖိနပ်၊ အမျိုးသမီး၊ အဝတ်အစား
👡 => 👡, အမျိုးသမီး၊ ဖိနပ်၊ ကြိုးသိုင်း၊ အဝတ်အစား
👢 => 👢, အမျိုးသမီး၊ ဖိနပ်၊ ဘွတ်၊ အဝတ်အစား
👑 => 👑, သရဖူ၊ ဘုရင်၊ ဘုရင်မ၊ အဝတ်အစား
👒 => 👒, အမျိုးသမီး၊ ဦးထုပ်၊ အဝတ်အစား
🎩 => 🎩, ဦးထုပ်၊ အဝတ်အစား၊ မြင့်၊
🎓 => 🎓, ဘွဲ့ယူ၊ အခမ်းအနား၊ ကက်ဦးထုပ်၊ ဦးထုပ်၊ အဝတ်အစား
📿 => 📿, တရား၊ ဆုတောင်း၊ ပုတီး၊ လည်ဆွဲ၊ ဘာသာရေး
💄 => 💄, မိတ်ကပ်၊ အလှပြင်၊
💍 => 💍, စိန်၊ ချစ်
💎 => 💎, စိန်၊ ချစ်၊ ကျောက်မျက်၊ ရတနာ
🐵 => 🐵, မျောက်၊ မျက်နှာ
🐶 => 🐶, ခွေး၊ မျက်နှာ၊ အိမ်မွေးတိရစ္ဆာန်
🐕 => 🐕, အိမ်မွေးတိရစ္ဆာန်
🐩 => 🐩, အမွှေး၊ ခွေး
🐺 => 🐺, ဝံပုလွေ၊ မျက်နှာ
🐱 => 🐱, ကြောင်၊ မျက်နှာ၊ အိမ်မွေးတိရစ္ဆာန်
🐈 => 🐈, အိမ်မွေးတိရစ္ဆာန်
🦁 => 🦁, ခြင်္သေ့၊ မျက်နှာ၊ ဆယ့်နှစ်ရာသီခွင်
🐯 => 🐯, ကျား၊ မျက်နှာ
🐴 => 🐴, မြင်း၊ မျက်နှာ
🐎 => 🐎, မြင်း၊ ပြိုင်မြင်း၊ အပြေးပြိုင်
🦄 => 🦄, ချိုတစ်ချောင်း၊ မျက်နှာ၊ မြင်း
🐮 => 🐮, နွားမ၊ မျက်နှာ
🐂 => 🐂, နွားထီး၊ ပြီဿာ၊ ဆယ့်နှစ်ရာသီခွင်
🐃 => 🐃, ကျွဲ၊ ရေ၊ ရွှံ့
🐷 => 🐷, ဝက်၊ မျက်နှာ
🐖 => 🐖, ဝက်မ
🐗 => 🐗, ဝက်
🐽 => 🐽, ဝက်၊ နှာခေါင်း၊ မျက်နှာ
🐏 => 🐏, သိုးထီး၊ သိုး၊ ဆယ့်နှစ်ရာသီခွင်
🐑 => 🐑, သိုးမ
🐐 => 🐐, မကရ၊ ဆယ့်နှစ်ရာသီခွင်
🐪 => 🐪, ဘို့၊ ကုလားအုတ်
🐫 => 🐫, ဘို့၊ ကုလားအုတ်
🐭 => 🐭, ကြွက်၊ မျက်နှာ
🐁 => 🐁, ကြွက်၊
🐹 => 🐹, မြီးတိုပါးတွဲကြွက်၊ မျက်နှာ၊ အိမ်မွေးတိရစ္ဆာန်
🐰 => 🐰, ယုန်၊ မျက်နှာ၊ အိမ်မွေးတိရစ္ဆာန်၊ ယုန်ကလေး
🐇 => 🐇, အိမ်မွေးတိရစ္ဆာန်၊ ယုန်ကလေး
🐿 => 🐿, ရှဥ့်
🐻 => 🐻, ဝက်ဝံ၊ မျက်နှာ
🐨 => 🐨, ဝက်ဝံ
🐼 => 🐼, ပန်ဒါ၊ မျက်နှာ
🐾 => 🐾, ဖဝါး၊ ခြေ၊ အရာများ
🐣 => 🐣, ကြက်ပေါက်စ
🐤 => 🐤, ကြက်ပေါက်စ၊ ပေါက်စ
🐥 => 🐥, ကြက်ပေါက်စ၊ ပေါက်စ
🕊 => 🕊, ငှက်၊ ပျံ၊ ငြိမ်းချမ်း
🐸 => 🐸, ဖား၊ မျက်နှာ
🐍 => 🐍, မြွေ၊ ဆယ့်နှစ်ရာသီခွင်၊
🐲 => 🐲, နဂါး၊ မျက်နှာ၊ ပုံပြင်
🐉 => 🐉, ပုံပြင်
🐳 => 🐳, ရေပန်း၊ မျက်နှာ၊ ဝေလငါး
🐠 => 🐠, အပူပိုင်း၊ ငါး
🐡 => 🐡, ငါး၊ ပူဖောင်း
🐙 => 🐙, ဘဝဲ၊ ပြည်ကြီးငါး
🐚 => 🐚, ခရု၊ ခွံ
🦀 => 🦀, ကဏန်း၊ ဆယ့်နှစ်ရာသီခွင်၊
🐛 => 🐛, အင်းဆက်၊ ပိုးကောင်
🐜 => 🐜, အင်းဆက်
🐝 => 🐝, ပျား၊ အင်းဆက်
🐞 => 🐞, ပိုးတောင်မာ၊ လေဒီဘတ်၊ အင်းဆက်
🕸 => 🕸, ပင့်ကူမျှင်၊ ဝဘ်
🦂 => 🦂, ကင်း၊ ကင်းမြီးကောက်၊ ဆယ့်နှစ်ရာသီခွင်
💐 => 💐, ပန်း၊ အပင်၊ ချစ်
🌸 => 🌸, ချယ်ရီ၊ ပန်း၊ အပင်၊ ပွင့်
💮 => 💮, ပန်း
🏵 => 🏵, စိုက်၊ ပွင့်
🌹 => 🌹, ပန်း၊ အပင်
🌺 => 🌺, ခေါင်ရန်း၊ အပင်
🌻 => 🌻, နေ၊ ပန်း၊ အပင်
🌼 => 🌼, ပန်း၊ အပင်
🌷 => 🌷, ပန်း၊ အပင်
🌱 => 🌱, ပျိုးပင်၊ အပင်
🌲 => 🌲, အပင်၊ သစ်ပင်
🌳 => 🌳, ရွက်ပြတ်ပင်၊ အပင်၊ အရိပ်၊ သစ်ပင်
🌴 => 🌴, ထန်း၊ အပင်
🌵 => 🌵, အပင်
🌾 => 🌾, ကောက်၊ အနှံ၊ အပင်
🌿 => 🌿, အရွက်၊ အပင်
☘ => ☘, အပင်
🍀 => 🍀, အရွက်၊ ၄၊ အပင်၊ ပဲရိုင်းပင်
🍁 => 🍁, မေပယ်၊ အရွက်၊ အပင်၊ ကျ
🍂 => 🍂, ရွက်၊ ကျ၊ အပင်
🍃 => 🍃, လေ၊ ပျံ၊ ဝဲ၊ အပင်၊ အရွက်
🍇 => 🍇, စပျစ်၊ အသီး၊ အပင်
🍈 => 🍈, အသီး၊ အပင်
🍉 => 🍉, အသီး၊ အပင်
🍊 => 🍊, လိမ္မော်၊ အသီး၊ အပင်
🍋 => 🍋, ရှောက်၊ အသီး၊ အပင်
🍌 => 🍌, အသီး၊ အပင်
🍍 => 🍍, အသီး၊ အပင်
🍎 => 🍎, ပန်းသီး၊ အသီး၊ အပင်၊ နီ
🍏 => 🍏, ပန်းသီး၊ အသီး၊ အပင်၊ စိမ်း
🍐 => 🍐, အသီး၊ အပင်
🍑 => 🍑, အသီး၊ အပင်
🍒 => 🍒, ချယ်ရီ၊ အသီး၊ အပင်
🍓 => 🍓, ဘယ်ရီ၊ အသီး၊ အပင်
🍅 => 🍅, ဟင်းသီးဟင်းရွက်၊ အပင်
🍆 => 🍆, ခရမ်းသီး၊ ဟင်းသီးဟင်းရွက်၊ အပင်
🌽 => 🌽, ပြောင်း၊ နှံ၊ အပင်
🌶 => 🌶, စပ်၊ အပင်၊ ငရုတ်
🍄 => 🍄, အပင်
🌰 => 🌰, အပင်
🧀 => 🧀, ဒိန်ခဲ
🍖 => 🍖, အရိုး၊ အသား
🍗 => 🍗, အရိုး၊ ကြက်၊ ခြေထောက်၊ ကြက်ငှက်
🍔 => 🍔, ဘားဂါး
🍟 => 🍟, အားလူး၊ ချောင်း၊ ကြော်
🍕 => 🍕, ဒိန်ခဲ၊ အချပ်
🌭 => 🌭, ဟော့ဒေါ့၊ ဝက်အူခ​ျောင်း၊ ဖရန့်ဖွတ်
🌮 => 🌮, မက်ဆီကန်
🌯 => 🌯, မက်ဆီကန်
🍲 => 🍲, ပြုတ်ချက်၊ အိုး
🍱 => 🍱, ဘင်တို၊ ဘူး
🍘 => 🍘, ဆန်၊ ခရက်ကာ
🍙 => 🍙, ထမင်းလုံး၊ ထမင်း၊ ဂျပန်
🍚 => 🍚, ထမင်း၊ ချက်
🍛 => 🍛, ထမင်း၊ ဟင်း
🍜 => 🍜, ဆူ၊ ပန်းကန်လုံး၊ ခေါက်ဆွဲ
🍝 => 🍝, ပါစတာ
🍠 => 🍠, ကင်၊ ကန်စွန်းဥ
🍢 => 🍢, ကီးဘာဘ်၊ ပင်လယ်စာ၊ သီတံ၊ အချောင်း
🍣 => 🍣, ဆူရီူ
🍤 => 🍤, ပုစွန်၊ ပုစွန်တုပ်၊ ကျော်၊ တမ်ပူရာ၊
🍥 => 🍥, ငါးဆုပ်၊ အလိပ်၊ မုန့်၊ ငါး
🍡 => 🍡, အချိုစာ၊ ဂျပန်၊ သီတံ၊ အချောင်း၊ ချို
🍦 => 🍦, မလိုင်၊ ရေခဲ၊ မုန့်၊ အပျော့၊ ချို၊ အချိုပွဲ
🍧 => 🍧, ရေခဲ၊ ခြစ်၊ မုန့်၊ အချိုပွဲ
🍨 => 🍨, မလိုင်၊ ရေခဲ၊ မုန့်၊  ချို၊ အချိုပွဲ
🍩 => 🍩, ဒိုးနတ်၊ ချို၊ အချိုပွဲ
🍪 => 🍪, ကွတ်ကီး၊ အချိုပွဲ
🎂 => 🎂, မွေးနေ့၊ ကိတ်၊ မုန့်၊ အချိုပွဲ ချို၊ ကျင်းပ
🍰 => 🍰, မလိုင်၊ ကိတ်၊ မုန့်၊ အချိုပွဲ
🍫 => 🍫, ချောကလက်၊ အချောင်း၊ ချို၊ အချိုပွဲ
🍬 => 🍬, အချိုပွဲ၊ အချို
🍭 => 🍭, ချိုချဥ်၊ ချို၊ အချိုပွဲ
🍮 => 🍮, ပူတင်း၊ အချို၊ အချိုပွဲ
🍯 => 🍯, ပျားရည်၊ အိုး၊ ပျားအိုး၊ ချို
🍼 => 🍼, ကလေးငယ်၊ တိုက်၊ နို့၊ ပုလင်း
☕ => ☕, သောက်စရာ၊ ယမကာ၊ အပူ၊ အငွေ့ထွက်၊ လဖက်ရည်
🍵 => 🍵, လဖက်ရည် ပန်းကန်လုံး၊ သောက်စရာ၊ ယမကာ၊ လဖက်ရည်
🍶 => 🍶, ဘား၊ ပုလင်း၊ ခွက်၊ သောက်စရာ၊ ယမကာ
🍾 => 🍾, ဘား၊ ဖော့ဆို့၊ သောက်စရာ၊ လွှင့်ထွက်၊ ပုလင်း
🍷 => 🍷, ဝိုင်၊ ခွက်၊ သောက်၊ ယမကာ၊ ဘား
🍸 => 🍸, အရက်စုံ၊ ယမကာ၊ ခွက်၊ ဘား
🍹 => 🍹, အပူပိုင်း၊ ယမကာ၊ ဘား
🍺 => 🍺, ဘီယာ၊ မတ်ခွက်၊ ယမကာ၊ ဘား
🍻 => 🍻, ဘီယာ၊ မတ်ခွက်၊ ယမကာ၊ ဘား၊ ချွင်ချွင်မြည်
🍽 => 🍽, ချက်ပြုတ်၊ ပန်းကန်၊ ဇွန်းနှင့် ခက်ရင်း
🍴 => 🍴, ခက်ရင်း၊ ဓား၊ ချက်ပြုတ်
