🏻 => 🏻, taglimt taceɛlalt
🏅 => 🏅, ciɛa n waddal
🥇 => 🥇, ciɛa n dhev
🥈 => 🥈, ciɛa n lfeṭṭa
🥉 => 🥉, ciɛa n bṛunz
⚽ => ⚽, ččir n dabax n uḍar
🔮 => 🔮, takurt n ukrisṭal
🀄 => 🀄, azeggaɣ, mahjong, urar
🎴 => 🎴, takarḍa, urar
🎩 => 🎩, tarazalt
🎓 => 🎓, agerdas
⛑ => ⛑, akaskiḍ amidag amellal
📿 => 📿, teṣbiḥ
💄 => 💄, zzin aγec
💍 => 💍, taxatemt
💎 => 💎, adgun aswa
🔇 => 🔇, asusam
🔈 => 🔈, imesli
🔉 => 🔉, imesli
🔊 => 🔊, imesli
📣 => 📣, amigafun
🎵 => 🎵, tazmilt taẓawant
🎶 => 🎶, tizmilin tiẓawanin
📻 => 📻, rradyu
🎷 => 🎷, asaksufun
🎸 => 🎸, snitra
📱 => 📱, tiliɣri tazirazt
☎ => ☎, tiliɣri
🔋 => 🔋, aẓru
💻 => 💻, aselkim aziraz
🖥 => 🖥, aselkim n tnarit
🖨 => 🖨, tasaggazt
⌨ => ⌨, anasiw
🖱 => 🖱, taɣerdayt n uselkim
🖲 => 🖲, aselkim
💽 => 💽, aḍebsi n uselkim
🎥 => 🎥, takamirat
📽 => 📽, ameskan n yisura
📺 => 📺, tiliẓri
📷 => 📷, Takamiṛat
📔 => 📔, imedlis s tduli icebḥen
📕 => 📕, adlis imedlen
📖 => 📖, adlis yeldin
📗 => 📗, adlis azegzaw
📘 => 📘, adlis amidadi
📙 => 📙, adlis ačinawi
📚 => 📚, idlisen
📓 => 📓, imedlis
📒 => 📒, ambellez
📃 => 📃, asebter yettwasekwren
📜 => 📜, adrurem
📄 => 📄, asebter
📰 => 📰, aɣmis
📑 => 📑, tacreṭ, tacreṭ n usebter
🔖 => 🔖, tacreṭ n usebter
🏷 => 🏷, tabzimt
✉ => ✉, tajellabt
📧 => 📧, imayl
📨 => 📨, izen ukcim
📩 => 📩, izen yettwazen
📤 => 📤, tanaka n tuzna
🗳 => 🗳, asenduq
✏ => ✏, imru
✒ => ✒, imru n tricet aberkan
📁 => 📁, akaram n ufaylu
📂 => 📂, ldi akaram n ufaylu
📆 => 📆, awitay
🔒 => 🔒, yeskweṛ
🔓 => 🔓, yeldi
🔨 => 🔨, afecku
🛡 => 🛡, abeckiḍ
⚙ => ⚙, afecku
🔗 => 🔗, aseɣwen
💉 => 💉, tisegnit
💊 => 💊, amejjay, amuḍin, tujjya
🚪 => 🚪, tabburt
🛒 => 🛒, taqecwalt n tiɣin
🚬 => 🚬, ageṛṛu
⚰ => ⚰, tamettant
🏧 => 🏧, tamacint n tedrimt tawurmant
🚮 => 🚮, tignit n iḍumman
🚰 => 🚰, aman deg ufus
♿ => ♿, azamul n unekcum n uneɛyabu
🚹 => 🚹, azamul n urgaz
🚺 => 🚺, azamul n tmeṭṭut
🚻 => 🚻, azamul n teslalayt
🚼 => 🚼, azamul n ṣebyan
🚾 => 🚾, taslalayt
⬆ => ⬆, aneccab d asawen
↗ => ↗, aneccab d asawen uẓẓil
➡ => ➡, aneccab ayeffus
↘ => ↘, aneccab d akesser uẓẓil
⬇ => ⬇, aneccab akesser
↙ => ↙, aneccab akesser ayeffus
⬅ => ⬅, aneccab azelmaḍ
↖ => ↖, aneccab asawen azelmaḍ
↕ => ↕, aneccab asawen akesser
↔ => ↔, aneccab azelmaḍ ayeffus
↩ => ↩, aneccab ayeffus yettin s azelmaḍ
↪ => ↪, aneccab azelmaḍ yettin s ayeffus
⤴ => ⤴, aneccab ayeffus yettin d asawen
⤵ => ⤵, aneccab ayeffus yettin d akesser
🔃 => 🔃, ineccaben tanila n isegnan n temrilt
🔄 => 🔄, taqeffalt n ineccaben n tnila yettin n isegnan n temrilt
🔙 => 🔙, Aneccab n tuɣalin
🔚 => 🔚, Aneccab n tagara
🔛 => 🔛, urmid
🔜 => 🔜, Aneccab Qrib
🔝 => 🔝, aneccab n ufalla
♈ => ♈, Ikerri
♉ => ♉, Aramul
♊ => ♊, Akniwen
♋ => ♋, Afurray
♌ => ♌, Izem
♍ => ♍, Taḥbayrit
♎ => ♎, Tacihant
♏ => ♏, Tiɣirdemt
♐ => ♐, Amnaccab
♑ => ♑, Aqelwac
♒ => ♒, Azfuf
♓ => ♓, Islem
⛎ => ⛎, Aẓudyak
🔀 => 🔀, Aneccab anmidag
🔁 => 🔁, aneccab imdewweṛ
▶ => ▶, taqeffalt n tɣuri
⏏ => ⏏, taqeffalt n senzelli
🎦 => 🎦, sinima
💲 => 💲, adulaṛ, idrimen, tadrimt
🏁 => 🏁, anay s texxamin
🚩 => 🚩, anay azeggaɣ
🎌 => 🎌, anayen ijapuniyen
🏴 => 🏴, anay aberkan
🏳 => 🏳, anay amellal
🏳‍🌈 => 🏳‍🌈, anay n teslit n unẓar
👶🏻 => 👶🏻, ṣebyan, taglimt taceɛlalt
👶🏼 => 👶🏼, ṣebyan, tagwlimt taceɛlalt talemmast
👶🏽 => 👶🏽, ṣebyan, taglimt talemmast
👶🏾 => 👶🏾, ṣebyan, tagwlimt tubrikt talemmast
👶🏿 => 👶🏿, ṣebyan, tagwlimt tubrikt
🧒🏻 => 🧒🏻, agrud, taglimt taceɛlalt
🧒🏼 => 🧒🏼, agrud, tagwlimt taceɛlalt talemmast
🧒🏽 => 🧒🏽, agrud, taglimt talemmast
🧒🏾 => 🧒🏾, agrud, tagwlimt tubrikt talemmast
🧒🏿 => 🧒🏿, agrud, tagwlimt tubrikt
👦🏻 => 👦🏻, aqruṛ, taglimt taceɛlalt
👦🏼 => 👦🏼, aqruṛ, tagwlimt taceɛlalt talemmast
👦🏽 => 👦🏽, aqruṛ, taglimt talemmast
👦🏾 => 👦🏾, aqruṛ, tagwlimt tubrikt talemmast
👦🏿 => 👦🏿, aqruṛ, tagwlimt tubrikt
👧🏻 => 👧🏻, taglimt taceɛlalt, Taqruṛt
👧🏼 => 👧🏼, tagwlimt taceɛlalt talemmast, Taqruṛt
👧🏽 => 👧🏽, taglimt talemmast, Taqruṛt
👧🏾 => 👧🏾, tagwlimt tubrikt talemmast, Taqruṛt
👧🏿 => 👧🏿, tagwlimt tubrikt, Taqruṛt
🧑🏻 => 🧑🏻, amengaḍ, taglimt taceɛlalt
🧑🏼 => 🧑🏼, amengaḍ, tagwlimt taceɛlalt talemmast
🧑🏽 => 🧑🏽, amengaḍ, taglimt talemmast
🧑🏾 => 🧑🏾, amengaḍ, tagwlimt tubrikt talemmast
🧑🏿 => 🧑🏿, amengaḍ, tagwlimt tubrikt
🧑‍🦰 => 🧑‍🦰, acekkuḥ azeggaɣ, amengaḍ
🧑🏻‍🦰 => 🧑🏻‍🦰, acekkuḥ azeggaɣ, amengaḍ, taglimt taceɛlalt
🧑🏼‍🦰 => 🧑🏼‍🦰, acekkuḥ azeggaɣ, amengaḍ, tagwlimt taceɛlalt talemmast
🧑🏽‍🦰 => 🧑🏽‍🦰, acekkuḥ azeggaɣ, amengaḍ, taglimt talemmast
🧑🏾‍🦰 => 🧑🏾‍🦰, acekkuḥ azeggaɣ, amengaḍ, tagwlimt tubrikt talemmast
🧑🏿‍🦰 => 🧑🏿‍🦰, acekkuḥ azeggaɣ, amengaḍ, tagwlimt tubrikt
🧑‍🦱 => 🧑‍🦱, acekkuḥ imdewweṛ, amengaḍ
🧑🏻‍🦱 => 🧑🏻‍🦱, acekkuḥ imdewweṛ, amengaḍ, taglimt taceɛlalt
🧑🏼‍🦱 => 🧑🏼‍🦱, acekkuḥ imdewweṛ, amengaḍ, tagwlimt taceɛlalt talemmast
🧑🏽‍🦱 => 🧑🏽‍🦱, acekkuḥ imdewweṛ, amengaḍ, taglimt talemmast
🧑🏾‍🦱 => 🧑🏾‍🦱, acekkuḥ imdewweṛ, amengaḍ, tagwlimt tubrikt talemmast
🧑🏿‍🦱 => 🧑🏿‍🦱, acekkuḥ imdewweṛ, amengaḍ, tagwlimt tubrikt
🧑‍🦳 => 🧑‍🦳, acekkuḥ amellal, amengaḍ
🧑🏻‍🦳 => 🧑🏻‍🦳, acekkuḥ amellal, amengaḍ, taglimt taceɛlalt
🧑🏼‍🦳 => 🧑🏼‍🦳, acekkuḥ amellal, amengaḍ, tagwlimt taceɛlalt talemmast
🧑🏽‍🦳 => 🧑🏽‍🦳, acekkuḥ amellal, amengaḍ, taglimt talemmast
🧑🏾‍🦳 => 🧑🏾‍🦳, acekkuḥ amellal, amengaḍ, tagwlimt tubrikt talemmast
🧑🏿‍🦳 => 🧑🏿‍🦳, acekkuḥ amellal, amengaḍ, tagwlimt tubrikt
🧑‍🦲 => 🧑‍🦲, aferḍas, amengaḍ
🧑🏻‍🦲 => 🧑🏻‍🦲, aferḍas, amengaḍ, taglimt taceɛlalt
🧑🏼‍🦲 => 🧑🏼‍🦲, aferḍas, amengaḍ, tagwlimt taceɛlalt talemmast
🧑🏽‍🦲 => 🧑🏽‍🦲, aferḍas, amengaḍ, taglimt talemmast
🧑🏾‍🦲 => 🧑🏾‍🦲, aferḍas, amengaḍ, tagwlimt tubrikt talemmast
🧑🏿‍🦲 => 🧑🏿‍🦲, aferḍas, amengaḍ, tagwlimt tubrikt
👨🏻 => 👨🏻, argaz, taglimt taceɛlalt
👨🏼 => 👨🏼, argaz, tagwlimt taceɛlalt talemmast
👨🏽 => 👨🏽, argaz, taglimt talemmast
👨🏾 => 👨🏾, argaz, tagwlimt tubrikt talemmast
👨🏿 => 👨🏿, argaz, tagwlimt tubrikt
👨‍🦰 => 👨‍🦰, acekkuḥ azeggaɣ, argaz
👨🏻‍🦰 => 👨🏻‍🦰, acekkuḥ azeggaɣ, argaz, taglimt taceɛlalt
👨🏼‍🦰 => 👨🏼‍🦰, acekkuḥ azeggaɣ, argaz, tagwlimt taceɛlalt talemmast
👨🏽‍🦰 => 👨🏽‍🦰, acekkuḥ azeggaɣ, argaz, taglimt talemmast
👨🏾‍🦰 => 👨🏾‍🦰, acekkuḥ azeggaɣ, argaz, tagwlimt tubrikt talemmast
👨🏿‍🦰 => 👨🏿‍🦰, acekkuḥ azeggaɣ, argaz, tagwlimt tubrikt
👨‍🦱 => 👨‍🦱, acekkuḥ imdewweṛ, argaz
👨🏻‍🦱 => 👨🏻‍🦱, acekkuḥ imdewweṛ, argaz, taglimt taceɛlalt
👨🏼‍🦱 => 👨🏼‍🦱, acekkuḥ imdewweṛ, argaz, tagwlimt taceɛlalt talemmast
👨🏽‍🦱 => 👨🏽‍🦱, acekkuḥ imdewweṛ, argaz, taglimt talemmast
👨🏾‍🦱 => 👨🏾‍🦱, acekkuḥ imdewweṛ, argaz, tagwlimt tubrikt talemmast
👨🏿‍🦱 => 👨🏿‍🦱, acekkuḥ imdewweṛ, argaz, tagwlimt tubrikt
👨‍🦳 => 👨‍🦳, acekkuḥ amellal, argaz
👨🏻‍🦳 => 👨🏻‍🦳, acekkuḥ amellal, argaz, taglimt taceɛlalt
👨🏼‍🦳 => 👨🏼‍🦳, acekkuḥ amellal, argaz, tagwlimt taceɛlalt talemmast
👨🏽‍🦳 => 👨🏽‍🦳, acekkuḥ amellal, argaz, taglimt talemmast
👨🏾‍🦳 => 👨🏾‍🦳, acekkuḥ amellal, argaz, tagwlimt tubrikt talemmast
👨🏿‍🦳 => 👨🏿‍🦳, acekkuḥ amellal, argaz, tagwlimt tubrikt
👨‍🦲 => 👨‍🦲, aferḍas, argaz
👨🏻‍🦲 => 👨🏻‍🦲, aferḍas, argaz, taglimt taceɛlalt
👨🏼‍🦲 => 👨🏼‍🦲, aferḍas, argaz, tagwlimt taceɛlalt talemmast
👨🏽‍🦲 => 👨🏽‍🦲, aferḍas, argaz, taglimt talemmast
👨🏾‍🦲 => 👨🏾‍🦲, aferḍas, argaz, tagwlimt tubrikt talemmast
👨🏿‍🦲 => 👨🏿‍🦲, aferḍas, argaz, tagwlimt tubrikt
👩🏻 => 👩🏻, taglimt taceɛlalt, tameṭṭut
👩🏼 => 👩🏼, tagwlimt taceɛlalt talemmast, tameṭṭut
👩🏽 => 👩🏽, taglimt talemmast, tameṭṭut
👩🏾 => 👩🏾, tagwlimt tubrikt talemmast, tameṭṭut
👩🏿 => 👩🏿, tagwlimt tubrikt, tameṭṭut
👩‍🦰 => 👩‍🦰, acekkuḥ azeggaɣ, tameṭṭut
👩🏻‍🦰 => 👩🏻‍🦰, acekkuḥ azeggaɣ, taglimt taceɛlalt, tameṭṭut
👩🏼‍🦰 => 👩🏼‍🦰, acekkuḥ azeggaɣ, tagwlimt taceɛlalt talemmast, tameṭṭut
👩🏽‍🦰 => 👩🏽‍🦰, acekkuḥ azeggaɣ, taglimt talemmast, tameṭṭut
👩🏾‍🦰 => 👩🏾‍🦰, acekkuḥ azeggaɣ, tagwlimt tubrikt talemmast, tameṭṭut
👩🏿‍🦰 => 👩🏿‍🦰, acekkuḥ azeggaɣ, tagwlimt tubrikt, tameṭṭut
👩‍🦱 => 👩‍🦱, acekkuḥ imdewweṛ, tameṭṭut
👩🏻‍🦱 => 👩🏻‍🦱, acekkuḥ imdewweṛ, taglimt taceɛlalt, tameṭṭut
👩🏼‍🦱 => 👩🏼‍🦱, acekkuḥ imdewweṛ, tagwlimt taceɛlalt talemmast, tameṭṭut
👩🏽‍🦱 => 👩🏽‍🦱, acekkuḥ imdewweṛ, taglimt talemmast, tameṭṭut
👩🏾‍🦱 => 👩🏾‍🦱, acekkuḥ imdewweṛ, tagwlimt tubrikt talemmast, tameṭṭut
👩🏿‍🦱 => 👩🏿‍🦱, acekkuḥ imdewweṛ, tagwlimt tubrikt, tameṭṭut
👩‍🦳 => 👩‍🦳, acekkuḥ amellal, tameṭṭut
👩🏻‍🦳 => 👩🏻‍🦳, acekkuḥ amellal, taglimt taceɛlalt, tameṭṭut
👩🏼‍🦳 => 👩🏼‍🦳, acekkuḥ amellal, tagwlimt taceɛlalt talemmast, tameṭṭut
👩🏽‍🦳 => 👩🏽‍🦳, acekkuḥ amellal, taglimt talemmast, tameṭṭut
👩🏾‍🦳 => 👩🏾‍🦳, acekkuḥ amellal, tagwlimt tubrikt talemmast, tameṭṭut
👩🏿‍🦳 => 👩🏿‍🦳, acekkuḥ amellal, tagwlimt tubrikt, tameṭṭut
👩‍🦲 => 👩‍🦲, aferḍas, tameṭṭut
👩🏻‍🦲 => 👩🏻‍🦲, aferḍas, taglimt taceɛlalt, tameṭṭut
👩🏼‍🦲 => 👩🏼‍🦲, aferḍas, tagwlimt taceɛlalt talemmast, tameṭṭut
👩🏽‍🦲 => 👩🏽‍🦲, aferḍas, taglimt talemmast, tameṭṭut
👩🏾‍🦲 => 👩🏾‍🦲, aferḍas, tagwlimt tubrikt talemmast, tameṭṭut
👩🏿‍🦲 => 👩🏿‍🦲, aferḍas, tagwlimt tubrikt, tameṭṭut
🧓🏻 => 🧓🏻, amengaḍ meqqren, taglimt taceɛlalt
🧓🏼 => 🧓🏼, amengaḍ meqqren, tagwlimt taceɛlalt talemmast
🧓🏽 => 🧓🏽, amengaḍ meqqren, taglimt talemmast
🧓🏾 => 🧓🏾, amengaḍ meqqren, tagwlimt tubrikt talemmast
🧓🏿 => 🧓🏿, amengaḍ meqqren, tagwlimt tubrikt
👴🏻 => 👴🏻, amɣaṛ, taglimt taceɛlalt
👴🏼 => 👴🏼, amɣaṛ, tagwlimt taceɛlalt talemmast
👴🏽 => 👴🏽, amɣaṛ, taglimt talemmast
👴🏾 => 👴🏾, amɣaṛ, tagwlimt tubrikt talemmast
👴🏿 => 👴🏿, amɣaṛ, tagwlimt tubrikt
#⃣ => #⃣, keycap: #
🔟 => 🔟, keycap
🇦🇨 => 🇦🇨, anay: Tigzirt n Aṣunsyun
🇦🇩 => 🇦🇩, anay: Undura
🇦🇪 => 🇦🇪, anay: Tigeldunin Yedduklen Taɛrabin
🇦🇫 => 🇦🇫, anay: Afɣanistan
🇦🇬 => 🇦🇬, anay: Untiga d Barbuda
🇦🇮 => 🇦🇮, anay: Ungiya
🇦🇱 => 🇦🇱, anay: Lalbani
🇦🇲 => 🇦🇲, anay: Arminya
🇦🇴 => 🇦🇴, anay: Ungula
🇦🇶 => 🇦🇶, anay: Antaṛktik
🇦🇷 => 🇦🇷, anay: Arjuntin
🇦🇸 => 🇦🇸, anay: Samwa Tamarikanit
🇦🇹 => 🇦🇹, anay: Ustriya
🇦🇺 => 🇦🇺, anay: Ustrali
🇦🇼 => 🇦🇼, anay: Aruba
🇦🇽 => 🇦🇽, anay: Tigzirin n Aland
🇦🇿 => 🇦🇿, anay: Azrabijan
🇧🇦 => 🇧🇦, anay: Busna d Hersek
🇧🇧 => 🇧🇧, anay: Barbadus
🇧🇩 => 🇧🇩, anay: Bangladac
🇧🇪 => 🇧🇪, anay: Belǧik
🇧🇫 => 🇧🇫, anay: Burkina Fasu
🇧🇬 => 🇧🇬, anay: Bulgari
🇧🇭 => 🇧🇭, anay: Baḥrin
🇧🇮 => 🇧🇮, anay: Burandi
🇧🇯 => 🇧🇯, anay: Binin
🇧🇱 => 🇧🇱, anay: Sant Baṛtilimi
🇧🇲 => 🇧🇲, anay: Bermuda
🇧🇳 => 🇧🇳, anay: Bruney
🇧🇴 => 🇧🇴, anay: Bulivi
🇧🇶 => 🇧🇶, anay: Huland n Kaṛayib
🇧🇷 => 🇧🇷, anay: Brizil
🇧🇸 => 🇧🇸, anay: Bahamas
🇧🇹 => 🇧🇹, anay: Bhutan
🇧🇻 => 🇧🇻, anay: Tigzirin n Buvet
🇧🇼 => 🇧🇼, anay: Bustwana
🇧🇾 => 🇧🇾, anay: Bilarus
🇧🇿 => 🇧🇿, anay: Biliz
🇨🇦 => 🇨🇦, anay: Kanada
🇨🇨 => 🇨🇨, anay: Tigzirin n Kukus
🇨🇩 => 🇨🇩, anay: Tigduda Tagdudant n Kungu
🇨🇫 => 🇨🇫, anay: Tigduda n Tefriqt Talemmast
🇨🇬 => 🇨🇬, anay: Kungu
🇨🇭 => 🇨🇭, anay: Swis
🇨🇮 => 🇨🇮, anay: Kuṭ Divwar
🇨🇰 => 🇨🇰, anay: Tigzirin n Kuk
🇨🇱 => 🇨🇱, anay: Cili
🇨🇲 => 🇨🇲, anay: Kamirun
🇨🇳 => 🇨🇳, anay: Lacin
🇨🇴 => 🇨🇴, anay: Kulumbi
🇨🇵 => 🇨🇵, anay: Tigzirt n Klipirṭun
🇨🇷 => 🇨🇷, anay: Kusta Rika
🇨🇺 => 🇨🇺, anay: Kuba
🇨🇻 => 🇨🇻, anay: Tigzirin n yixef azegzaw
🇨🇼 => 🇨🇼, anay: Kuṛaṣaw
🇨🇽 => 🇨🇽, anay: Tigzrin n Kristmaṣ
🇨🇾 => 🇨🇾, anay: Cipr
🇨🇿 => 🇨🇿, anay: Čček
🇩🇪 => 🇩🇪, anay: Lalman
🇩🇬 => 🇩🇬, anay: Digu Gaṛsya
🇩🇯 => 🇩🇯, anay: Ǧibuti
🇩🇰 => 🇩🇰, anay: Denmark
🇩🇲 => 🇩🇲, anay: Duminik
🇩🇴 => 🇩🇴, anay: Tigduda Taduminikit
🇩🇿 => 🇩🇿, anay: Lezzayer
🇪🇦 => 🇪🇦, anay: Sebta d Melilla
🇪🇨 => 🇪🇨, anay: Ikwaṭur
🇪🇪 => 🇪🇪, anay: Istunya
🇪🇬 => 🇪🇬, anay: Maṣr
🇪🇭 => 🇪🇭, anay: Seḥra n umalu
🇪🇷 => 🇪🇷, anay: Iritiria
🇪🇸 => 🇪🇸, anay: Spanya
🇪🇹 => 🇪🇹, anay: Utyupi
🇪🇺 => 🇪🇺, anay: Tiddukla n Turuft
🇫🇮 => 🇫🇮, anay: Finlund
🇫🇯 => 🇫🇯, anay: Fiji
🇫🇰 => 🇫🇰, anay: Tigzirin n Falkland
🇫🇲 => 🇫🇲, anay: Mikrunizya
🇫🇴 => 🇫🇴, anay: Tigzirin n Faṛwi
🇫🇷 => 🇫🇷, anay: Fransa
🇬🇦 => 🇬🇦, anay: Gabun
🇬🇧 => 🇬🇧, anay: Tagelda Yedduklen
