🤣 => 🤣, cara, risa, rodando, rodando pel suelu de risa, suelu
😂 => 😂, allegría, cara, cara llorando d’allegría, llárima, risa
😘 => 😘, besu, cara, cara tirando un besu
😗 => 😗, besu, cara, cara besando
☺ => ☺, cara sorriendo
🇰🇷 => 🇰🇷, bandera Corea del Sur
🇰🇼 => 🇰🇼, bandera Kuwait
🇰🇾 => 🇰🇾, bandera Islles Caimán
🇰🇿 => 🇰🇿, bandera Kazakstán
🇱🇦 => 🇱🇦, bandera Laos
🇱🇧 => 🇱🇧, bandera Líbanu
🇱🇨 => 🇱🇨, bandera Santa Llucía
🇱🇮 => 🇱🇮, bandera Liechtenstein
🇱🇰 => 🇱🇰, bandera Sri Lanka
🇱🇷 => 🇱🇷, bandera Liberia
🇱🇸 => 🇱🇸, bandera Lesothu
🇱🇹 => 🇱🇹, bandera Lituania
🇱🇺 => 🇱🇺, bandera Luxemburgu
🇱🇻 => 🇱🇻, bandera Letonia
🇱🇾 => 🇱🇾, bandera Libia
🇲🇦 => 🇲🇦, bandera Marruecos
🇲🇨 => 🇲🇨, bandera Mónacu
🇲🇩 => 🇲🇩, bandera Moldavia
🇲🇪 => 🇲🇪, bandera Montenegru
🇲🇫 => 🇲🇫, bandera Saint Martin
🇲🇬 => 🇲🇬, bandera Madagascar
🇲🇭 => 🇲🇭, bandera Islles Marshall
🇲🇱 => 🇲🇱, bandera Malí
🇲🇲 => 🇲🇲, bandera Myanmar (Birmania)
🇲🇳 => 🇲🇳, bandera Mongolia
🇲🇴 => 🇲🇴, bandera ARE China de Macáu
🇲🇵 => 🇲🇵, bandera Islles Marianes del Norte
🇲🇶 => 🇲🇶, bandera La Martinica
🇲🇷 => 🇲🇷, bandera Mauritania
🇲🇸 => 🇲🇸, bandera Montserrat
🇲🇹 => 🇲🇹, bandera Malta
🇲🇺 => 🇲🇺, bandera Mauriciu
🇲🇻 => 🇲🇻, bandera Les Maldives
🇲🇼 => 🇲🇼, bandera Malaui
🇲🇽 => 🇲🇽, bandera Méxicu
🇲🇾 => 🇲🇾, bandera Malasia
🇲🇿 => 🇲🇿, bandera Mozambique
🇳🇦 => 🇳🇦, bandera Namibia
🇳🇨 => 🇳🇨, bandera Nueva Caledonia
🇳🇪 => 🇳🇪, bandera El Níxer
🇳🇫 => 🇳🇫, bandera Islla Norfolk
🇳🇬 => 🇳🇬, bandera Nixeria
🇳🇮 => 🇳🇮, bandera Nicaragua
🇳🇱 => 🇳🇱, bandera Países Baxos
🇳🇴 => 🇳🇴, bandera Noruega
🇳🇵 => 🇳🇵, bandera Nepal
🇳🇷 => 🇳🇷, bandera Nauru
🇳🇺 => 🇳🇺, bandera Niue
🇳🇿 => 🇳🇿, bandera Nueva Zelanda
🇴🇲 => 🇴🇲, bandera Omán
🇵🇦 => 🇵🇦, bandera Panamá
🇵🇪 => 🇵🇪, bandera Perú
🇵🇫 => 🇵🇫, bandera Polinesia Francesa
🇵🇬 => 🇵🇬, bandera Papúa Nueva Guinea
🇵🇭 => 🇵🇭, bandera Filipines
🇵🇰 => 🇵🇰, bandera Paquistán
🇵🇱 => 🇵🇱, bandera Polonia
🇵🇲 => 🇵🇲, bandera Saint Pierre y Miquelon
🇵🇳 => 🇵🇳, bandera Islles Pitcairn
🇵🇷 => 🇵🇷, bandera Puertu Ricu
🇵🇸 => 🇵🇸, bandera Territorios Palestinos
🇵🇹 => 🇵🇹, bandera Portugal
🇵🇼 => 🇵🇼, bandera Paláu
🇵🇾 => 🇵🇾, bandera Paraguái
🇶🇦 => 🇶🇦, bandera Qatar
🇷🇪 => 🇷🇪, bandera Reunión
🇷🇴 => 🇷🇴, bandera Rumanía
🇷🇸 => 🇷🇸, bandera Serbia
🇷🇺 => 🇷🇺, bandera Rusia
🇷🇼 => 🇷🇼, bandera Ruanda
🇸🇦 => 🇸🇦, bandera Arabia Saudita
🇸🇧 => 🇸🇧, bandera Islles Salomón
🇸🇨 => 🇸🇨, bandera Les Seixeles
🇸🇩 => 🇸🇩, bandera Sudán
🇸🇪 => 🇸🇪, bandera Suecia
🇸🇬 => 🇸🇬, bandera Singapur
🇸🇭 => 🇸🇭, bandera Santa Helena
🇸🇮 => 🇸🇮, bandera Eslovenia
🇸🇯 => 🇸🇯, bandera Svalbard ya Islla Jan Mayen
🇸🇰 => 🇸🇰, bandera Eslovaquia
🇸🇱 => 🇸🇱, bandera Sierra Lleona
🇸🇲 => 🇸🇲, bandera San Marín
🇸🇳 => 🇸🇳, bandera Senegal
🇸🇴 => 🇸🇴, bandera Somalia
🇸🇷 => 🇸🇷, bandera Surinam
🇸🇸 => 🇸🇸, bandera Sudán del Sur
🇸🇹 => 🇸🇹, bandera Santu Tomé y Príncipe
🇸🇻 => 🇸🇻, bandera El Salvador
🇸🇽 => 🇸🇽, bandera Sint Maarten
🇸🇾 => 🇸🇾, bandera Siria
🇸🇿 => 🇸🇿, bandera Suazilandia
🇹🇦 => 🇹🇦, bandera Tristán da Cunha
🇹🇨 => 🇹🇨, bandera Islles Turques y Caicos
🇹🇩 => 🇹🇩, bandera Chad
🇹🇫 => 🇹🇫, bandera Tierres Australes Franceses
🇹🇬 => 🇹🇬, bandera Togu
🇹🇭 => 🇹🇭, bandera Tailandia
🇹🇯 => 🇹🇯, bandera Taxiquistán
🇹🇰 => 🇹🇰, bandera Tokeláu
🇹🇱 => 🇹🇱, bandera Timor Oriental
🇹🇲 => 🇹🇲, bandera Turkmenistán
🇹🇳 => 🇹🇳, bandera Tunicia
🇹🇴 => 🇹🇴, bandera Tonga
🇹🇷 => 🇹🇷, bandera Turquía
🇹🇹 => 🇹🇹, bandera Trinidá y Tobagu
🇹🇻 => 🇹🇻, bandera Tuvalu
🇹🇼 => 🇹🇼, bandera Taiwán
🇹🇿 => 🇹🇿, bandera Tanzania
🇺🇦 => 🇺🇦, bandera Ucraína
🇺🇬 => 🇺🇬, bandera Uganda
🇺🇲 => 🇺🇲, bandera Islles Perifériques Menores de los EE.XX.
🇺🇳 => 🇺🇳, bandera Naciones Xuníes
🇺🇸 => 🇺🇸, bandera Estaos Xuníos
🇺🇾 => 🇺🇾, bandera Uruguái
🇺🇿 => 🇺🇿, bandera Uzbequistán
🇻🇦 => 🇻🇦, bandera Ciudá del Vaticanu
🇻🇨 => 🇻🇨, bandera San Vicente y Granadines
🇻🇪 => 🇻🇪, bandera Venezuela
🇻🇬 => 🇻🇬, bandera Islles Vírxenes Britániques
🇻🇮 => 🇻🇮, bandera Islles Vírxenes Americanes
🇻🇳 => 🇻🇳, bandera Vietnam
🇻🇺 => 🇻🇺, bandera Vanuatu
🇼🇫 => 🇼🇫, bandera Wallis y Futuna
🇼🇸 => 🇼🇸, bandera Samoa
🇽🇰 => 🇽🇰, bandera Kosovu
🇾🇪 => 🇾🇪, bandera Yemen
🇾🇹 => 🇾🇹, bandera Mayotte
🇿🇦 => 🇿🇦, bandera Sudáfrica
🇿🇲 => 🇿🇲, bandera Zambia
🇿🇼 => 🇿🇼, bandera Zimbabue
0⃣ => 0⃣, tecles 0
1⃣ => 1⃣, tecles 1
2⃣ => 2⃣, tecles 2
3⃣ => 3⃣, tecles 3
4⃣ => 4⃣, tecles 4
5⃣ => 5⃣, tecles 5
6⃣ => 6⃣, tecles 6
7⃣ => 7⃣, tecles 7
8⃣ => 8⃣, tecles 8
9⃣ => 9⃣, tecles 9
